,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 256GB, 16GB",보라돌이au,5,애플이 애플 했다.,"안녕하세요, 최근 해외 장기체류를 하게 되어서 구매하게 되었습니다.일단 아이폰 11pro, 아이패드 12.9 3세대 1TB 중고로 구매해서 사용하고 있구요, 애플워치 SE 그리고 에어팟 프로 1세대.. 사용 중입니다. 이렇게 적고 나니 진짜 앱등이가 맞네요...원래 삼성 휴대폰만 고집하다가 노트 7 폭발 이슈 이후로 아이폰 7부터 쭉 이용하고 있는데요,아이패드도 사실은 편집용 으로 구매 했는데 넷플릭스용으로 전락 했었어요 ㅠㅠ근데 요번에 해외로 장기체류 하게 되면서 이번 만큼은 정말 유튜브에 영상을 찍어서 올리겠다는 마음가짐으로..당근마켓으로 구매를 해보려다가 시간도 너무 촉박 했었고, 기왕 사는김에 좋은 걸로 사서 오래 쓰자.. 라는 생각으로맥북 프로 13 M2 실버 256GB, 16GB를 구매하게 되었습니다.며칠 전에 봤을 때만 해도 카드 할인이 많이 들어가서 160 만원 대에 구매할 수 있었던 것 같은데, 제가 구매하려고 하니 카드 혜택들이 다 쏙 들어 갔더라구여 ㅠㅠㅠ그래서 170만원 초반대에 구매하게 되었습니다.일단 저로 말씀드리자면, 맥북을 단 한번도 사용해 본 적이 없는.. 맥북 문외한 입니다.그래도 나름 전자기기는 한번 다루기 시작하면 금방금방 배우는 편이라서... 유튜브 찾아보면서 공부하면서 사용하려고 구매하게 되었어요. 물론 정부기관 관련 프로그램이나 엑셀 등(?)은 사용 못하겠지만, 윈도우 외길 인생만 걸어오던 저에게 MAC OS는 크나큰 도전이었던 것 같아요.1. 포장 상태.분명히 Fragile 딱지가 붙어 있었을텐데도 불구하고.. 박스가 엄청나게 손상되어서 왔습니다 거의 뭉개져 있더라구여그래서 약간의 불안한 마음으로... 박스를 개봉했는데 뭔가 제품 자체도 열어본 듯한 흔적이(?) 있어서,,, 동영상 촬영을 하며 개봉하게 되었습니다. 이때 많이 불안하더라구여 ㅠㅠ근데 다행스럽게도 개봉 하고 나니 내부는 상처하나 없이 깔끔하더라구요, 비닐로 잘 쌓여 있었구요. 그래서 그냥 사용하기로 결심하였습니다. 2. 제품 품질일단 맥 OS 자체를 처음 접해보는 저에게는 품질... 뭐 사양 자체를 평가할 수 있는 기준 자체가 없는 것 같아요. 근데 유튜뷰에서 기본 설정법 찾아보고 설정하려고 했는데, 업데이트 된 내용이랑은 조금 상이하더라구요, 그래서 하나 하나 검색해가며 설정하는데 시간은 좀 오래 걸렸지만, 설정하고 나서 단축키 등에 조금씩 익숙해지니 편리해지기 시작한 것 같아요. 아직 맥북 사용한지 일주일이 채 안되었지만, 확실히 적응 되고 나면 편해지겠구나 라는 생각이 들 정도로 생태계를 잘 구축해 놓은 느낌입니다.3. 용량256GB 냐 512GB냐 고민을 많이 했는데요, 가격차이가 너무 많이 나더라구요 ㅠㅠ 사용하다 보면 분명히 용량이 부족 할 날이 올 것 같지만,, 외장하드 등을 잘 활용해서 256GB로 잘 사용해 볼 생각입니다. 일단 파이널 컷 프로를 체험판으로 사용해 볼 예정인데, 큰 대용량의 영상 편집만 아니라면 용량 자체는 크게 관계 없을 것 같아요.4. 배터리 수명예전에 쓰던 ASUS 노트북이 오래되었고, 애초부터 오래 사용할 수 없는 배터리 였기 때문에, 맥북 프로의 배터리는 저에게는 엄청난 신세계네요..ㅋㅋㅋㅋ 아직까지는 밖에서 오래 사용 할 일이 없어서 크게 체감은 못했지만, 공항에서 조금 사용해 보고 집에서도 조금씩 사용해 봤는데 배터리가 빨리 닳지 않더라구요... 뭔가 신세계ㅠ.ㅠ 쓰다보면 분명히 배터리 효율이 줄어서 지금 만큼의 성능은 못 누리겠지만, 오랜 시간 사용 할 수 있는 확신은 들었습니다. 충전기 자체가 너무 크기 때문에 완충해서 나가면 오랜시간 사용할 수 있어서 노트북만 들고 나가면 될 것 같아요! 5. 무게이 전의 노트북에 비해 확실히 많이 가볍습니다만, 에어를 사용하시던 분들 이시라면 오히려 무겁다고 생각하실 것 같아요. 저는 다행스럽게도 아이패드도 12.9인치이고.. 생각보다 무겁기 때문에 상대적으로 노트북이 가볍게 느껴집니다 ㅎㅎㅎ 어차피 떨어뜨릴까 무서워서 백팩을 메고 다닐 생각이라 편안히 사용할 수 있겠네요.  아마 저처럼 MAC OS가 익숙치 않아서, 그리고 윈도우 외 길 인생을 걸어오신 분들이 많으실텐데, 정말 전자기기를 다루는데 너~~~무 익숙치 않으신 분들 이라면 사용하는데 조금 어려움을 겪을 수도 있지 않겠나 싶습니다.. 중고로 올려두신 분들만 봐도 대부분 OS에 적응을 못하셔서 판매하시는 분들이 많으시더라구요.본인이 애플 생태계에 적응 잘 할 자신이 있다고 하시는 분들은 구매하시면 좋을 것 같고, 기계치시라면 그냥 쓰던 윈도우를 사용하시는 것을 추천드립니다..ㅎㅎㅎ 저도 앞으로 갈 길이 멀었지만 잘 적응해서 편집까지 빠른 속도로 할 수 있게 많이 사용해보려고 합니다.저의 글이 맥북 프로 구매를 고민하시는 분들에게 많은 도움이 되었으면 합니다~~~도움이 되셨다면 도움이 돼요 한번씩 눌러주시면 감사하겠습니다 ^^ 몇개월 더 사용해 보고 사용 후기 더 남기러 올게요!"
1,"Apple 2022 맥북 프로 13 M2, 스페이스 그레이, GPU 10코어, 256GB, 16GB",나정원,5,개발자용 맥북,"가성비 좋은 아수스 노트북 사용하다가 배터리가 들쑥날쑥 하길래 불안해서 바꾸려고 알아보다가 맥북을 사게 됐어요.회사에서 m1 맥북 사용하긴했지만 집에서 쓰는거랑은 또 다르니까요.배송 빨랐고 박스포장 이중으로 잘 되어있어서 안전하게 왔어요.색상은 스페이스 그레이가 묵직한 느낌이라 맘에 들어요.세세한 설정부터 계정설정까지 다하고 곧장 개발프로그램 이것저것 깔아봤는데 스무스하니 좋네요ㅎㅎ사용한지는 이제 3달 다 되어가네요.m2랑 m1을 램, 메모리 용량 똑같은 맥북 둘다 써봤는데 아주 미세한 차이일수 있지만 m2가 조금 더 매끄럽고 성능이 좋아요.버벅거림이 싫어서 용량을 더 높은걸로 살지 말지 고민했었는데, 이것저것 따져봤을때 굳이? 싶어서 256/16GB 구매했어요. 제가 원하는 작업을 실행했을때 이정도 스펙에서도 충분히 매끄러웠기에 별다른 문제없이 잘 사용중입니다.맥북이 일반노트북에 비해서 개발할때 좋은점을 적어보자면…1. 윈도우보다 개발환경셋팅이 쉬웠어요!2. 그리고 기존에 썼던 노트북보다 밑에 마우스패드가 더 넓어서 마우스 없이 편안하게 개발을 할 수 있었고 여러창을 띄워놔도 분리시키고 다시 원하는 창을 가지고 올때 편했어요!프론트작업과 백엔드 작업을 같이할때 항상 에디터를 두개 켜놓고 하는데 화면분할이 잘되다보니 하나의 기능을 만들때도 생각이 꼬이지 않고 개발 집중이 월등히 잘되었어요!모니터를 연결해서 같이 사용해도 되지만 밖에서 개발할때도 그냥 맥북 하나만 있으면 편안하게 개발이 가능해요.개발자의 편의성을 생각했을때 맥북은 좋은 선택같아요.애플은 폰만 쓰다가 아이패드, 맥북까지..사용해보면 익숙해져서 그런가 점점 하나씩 늘어가네요.늪같아요ㅎㅎ"
2,"Apple 2022 맥북 프로 13 M2, 스페이스 그레이, GPU 10코어, 512GB, 16GB",김*철,5,등록된 헤드라인이 없습니다,저는 핸드폰이 아이폰을 사용하는 앱등이 입니다.앱들이 애플인들은...노트북은 당연히 맥북이여야 세트아니겠어요?처음에 불편함이 있을꺼같아서 그램을 선택할려고했지만저는 영상작업위주로 사용할꺼라그램은 사무용이라고하여적합하지않아서 맥북을 선택했습니다사실 맥북이 좀 비싸서 망설였던건 사실입니다그런데 그거아시나요? 그날그날마다 카드사 할인이 다 다르다는거?제가 구매하는날에 롯카가 35만원 할인을 때려줘서 저는 200 밑으로 170에 구매할수있었다는사실! 170이면 그램가격인데 그램이랑 맥북이 가격이같다면당연히 맥북이죠..일단 아이폰과 연동이 되는점이 너무좋아요꼭 큰 핸드폰이 생긴거같은..? 사진첩 문자 등등 다 연동되어 뜹니다터치로 잠그고 위치도 찾을수있는 인터넷도 되고 앱도되는데스트탑이랑 아이폰 그 사이에 있는 느낌일까요?아이폰을 사용해보지 않으신 분이라면 좀 많이 어려울거같습니다저는 그나마 아이폰을 사용해서 좀덜 헤맸던거같아요앞으로 열심히 맥북과함께...작업을해볼려고합니다아끼고 아껴서 조심스럽게 사용할려구요 ㅠㅠ 불량없이새제품으로 잘받았습니다고가라서 그런지...항상 쿠팡은 과대포장인데 맥북은뽁뽁이를 얼마나 많이 넣어주셨던지 ㅎㅎ저는참고로 케이스도샀어요 옐로우색
3,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 512GB, 24GB",다사즈아,5,그냥 사 세요!,"20여 년 동안 외길만 걸어온 윈도우 콘크리트충입니다.구매에 앞서 가장 큰 망설임은 가격이 아닌, 오직 macOS에 대한 두려움이었다고 생각됩니다.하지만 최근 갤럭시에서 아이폰으로 갈아타며 애플의 위대함을 몸소 깨닫고 용기를 내어 구매를 하였습니다.역시 쿠팡 로켓 배송 답게 다음 날 도착하였고요.두려움 반 설렘 반으로 배송받은 맥북을 미개봉 상태 그대로 집 근처 프리스비 매장으로 가지고 갔습니다.애초에 반품할 마음이 1도 없었기에 거금을 들여 내 외부 전체 필름 시공을 하였습니다.그리고 조심히 집으로 모시고 와서 이렇게 리뷰를 작성하게 되었습니다.제가 구매한 제품 스팩은 램24g 용량512g 실버입니다.맥북프로를 잠시나마 구동해 보니 반응속도와 사용감이 매우 뛰어나 업무 효율을 극대화할 수 있을 것으로 기대합니다.그리고 무엇보다 애플 로고와 외관 디자인이 너무 마음에 듭니다.폼 팩터가 전작이랑 동일하지만 전혀 뒤처지지 않고요.쿠팡 덕분에 카드 할인까지 받아서 오프 대비 저렴하게 구입 한 점도 너무 좋습니다!고민은 배송만 늦출 뿐!(물론 쿠팡 로켓은 예외지만..ㅋㅎ 그래도 고민하다 일시 품절 주의는 하셔야..ㅎ)저는 업무와 일상 사용을 병행하기에 램24g로 선택하였지만, 웹서핑 및 영상 시청이 주목적이라면 기본 스팩으로 하셔도 훌륭할 것으로 생각됩니다ㅎㅎ애플 기기 상호 높은 호환성 때문에 맥북은 못 참지yo"
4,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 512GB, 16GB",끼끼랑,5,서프라이즈 생일 선물로 구매했는데 추석이 기대됩니다,집에 계시는 대장님이 맥북을 너무 갖고싶어하는데 어차피 9월에 생일도 있고 해서 구매를 해놨어요. 서프라이즈를 할 생각이어서 아직 주진않았는데 이번 추석때 짠 하고 꺼내려구요. 원래 갖고싶어하는건 맥북 에어인데 프로가 훨씬 성능도 괜찮고 가격도 착하게 나온거 같아서 그냥 프로로 결정했어요. 프로도 좋다고 하더라구요. 좀 아쉬운건 폼팩터가 새로운게 아니라 기존 제품들이랑 모양이 같아서 그 점은 좀 아쉽긴합니다. 512기가에 16기가 램인데 M2는 용량을 무조건 512기가로 해야 제성능을 뽑아낸다고하는걸 들었거든요. 뭐 정확한건 모르겠지만 이왕 사는거 사양 좋은 걸로 주는게 좋을거 같아서 결정했네요. 가격이 상당히 메리트가 있어서 굉장히 만족하구요. 원래 상자에 오는걸로 알고 있었는데 이건 그냥 겉상자없이 왔네요. 그점은 조금 아쉬워요. 그래도 깔끔하게 되어있어서 만족스럽습니다. 입이 근질근질하긴 한데 조금만 더 참았다가 서프라이즈 하려구요. M2 성능은 M1에 비해 20% 향상되었다고 하던데 사실 하드한 작업 아니면 큰 차이는 없을거 같아요.
5,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 512GB, 16GB",김*주,5,m2맥북프로13 쿠팡할인받아 만족스러운 쇼핑함,인텔맥북에어 2020 사용하다 갈아탐새로나온 m2맥북에어가 신형폼팩터이다보니 가격인상건도 있고 실질적으로 구형폼팩터에 칩만 신형인 맥북프로13과 가격차이가 몇만원 안나는 구조구형폼팩터인거 감안하면 현재 이 모델이 유일하게 액티브쿨링으로 m2 성능 최대로 뽑아내는 유일한기기라 할 수 있음잘 안팔려 그런가 잠복중인데 특가 떠서 180초반에 구매한건데제가 구입한목적은 m2칩을 사용해보고 싶었으며 간단한 영상편집등을 배워 향후 파이널컷프로를 사용한 유튜버 도전과 그외 일상간 유튜브 및 ott 시청이 주 목적임쿠팡덕분에 230 넘는 기기를 180에 구매하여 현재 기부니가 매우 좋음
6,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 512GB, 24GB",김성수,5,512gb 24램인데 빠릅니다.,"가전제품은 이제 쿠팡이 답인 것 같네요.너무 저렴한데 다음날 바로 받아볼 수 있으니 최고죠.맥북 프로 m1 14인치 팔고 m2 13으로 넘어 왔는데 ssd속도 저하는 없습니다.저는 512gb 24램이라 그런지 몰라도 외장하드에 있는 파일 이동시 엄청 빠르게 복사가 됩니다.프로그램 구동도 장난아닙니다.지문 인식도 빠르고 터치바의 다용도로 사용이 가능해져 최소형 작업실이 완성이 되었네요.배터리도 매우 오래 가는 것 같네요.애플이 말한 것처럼 가벼운 활용의 경우 충전기 없이 하루 종일도 가능할 듯 합니다.성능은 아침에 잠깐 만져 봤지만 까일만한 제품이 절대 아닙니다.10월 초 m2 신제품이 나올텐데 환율상 고가라인이 되기에 어쩌면 이번 m2 프로 13인치가 재평가될 지도 모르겠습니다.그래도 기존 폼펙터 우려먹기로 호불호는 갈리겠지만 오로지 성능만보고 사신다면 괜찮은 선택일 것 같네요.장점• 로직 프로와 같은 프로그램을 사용시 터치바를 믹서로 사용이 가능• 매우 밝고 선명한 디스플레이• 높은 옴의 헤드폰도 외장 dac없이 구동가능• 공간음향 지원 (• 저발열, 빠른 ssd 속도• 배터리 깡패• 가벼운 무게• 기존 m1 맥북프로의 악세사리들을 사용할 수 있음단점• 다소 떨어지는 스피커 출력(음질은 그럭저럭)• 컴팩트한 화면 크기(easyres앱을 활용하여 해상도는 극복 가능)• 기존 폼펙터 활용으로 다소 질릴 수 있는 디자인• 두 개 밖에 없는 입력 포트(usb c)"
7,"Apple 2022 맥북 프로 13 M2, 스페이스 그레이, GPU 10코어, 256GB, 8GB",테이스티쿱,5,할인할때 저렴하게 구매하세요.,* 구매 일자 : 2022. 6. 29.선물할 용도로 구매했는데 저렴하게 구매해서 좋아요. 사진을 못찍었는데 나중에 사진찍어서 리뷰 추가할게요. 사실 맥북에어 M2 미드나이트가 탐나긴 했는데그래도 맥북 프로가 성능면에서는 더 뛰어나니까 ~ 그냥 맥북 프로로 선택했어요. 무엇보다 에어랑 가격차이가 거의 없다보니 오히려 저렴하게 구매한것에 위안을 삼고 있네요.
8,"Apple 2022 맥북 프로 13 M2, 실버, GPU 10코어, 256GB, 16GB",오팔삼칠,5,기대 이상의 최고의 제품,"실리콘 프로세서용 제품은 '아이맥 24' 이후 두 번째 제품 으로,재택근무 용으로서 구입했는데 모든 면에서 기대치 이상의 퍼포먼스를 내어줍니다. 수 많은 다양한 리뷰가 있기에,  다분히 개인적인 첨언을 적어 봅니다. 여러 유튜버 와 블로그의 수치에만 의존한 단편적인 리뷰 탓에 많은 분들이 256G 모델의 단일 SSD칩에 대한 속도 저하를 우려하고 있지만,초고용량의 데이터 이동, 수백기가의 반복적인 데이터 스왑 환경이 아니라면,특정 직업군 환경 외에는 전혀 체감 되지 않을 성능 차이입니다.개인적으로 디자인 사무소를 운영해오며, 다양한 년식의 고스팩 아이맥 과 맥프로 장비를 사용하는 관점에서 보면, 현업 프로급의 지속적인 푸쉬가 유발되는 작업을 요구하는 업무 환경 아니라면'돼지 목에 진주목걸이' 입니다.심리적 성능 잣대를 쫒는 다면 어쩔 수 없습니다, 개인적으로는 대단히 만족하며 사용하고 있습니다. 좋은 선택하세요 :)"
9,"Apple 2022 맥북 프로 13 M2, 스페이스 그레이, GPU 10코어, 512GB, 24GB",고*열,5,노트북은 맥북이냐 아니냐로 나뉩니다,"쿠팡 사랑합니다.10코어, 24gb, 512gb에어로 사려고 하면 260만원인데액티브 쿨링이 있어 쓰로틀링 없는 프로를 20%이상의 할인을 받고 구매하게됐습니다폼팩터가 구형이긴하지만, 구관이 명관이라고 이미 수많은 맥북유저에게 사랑을 받아온 디자인으로사용하는데 전혀 문제가 없습니다.포토샵과 파이널컷을 사용하는 사람으로 정확한 색감과 윈도우대비 6배는 빠른 처리속도로아주 만족합니다.여러분들이 작업용으로 맥북을 구매하셔야 하는 이유입니다.1. 20시간 이상의 배터리타임.2. 배터리 모드에서도 성능저하가 없이 최고로 유지3. 대기모드 필요없음, 작업하다 그냥 뚜껑닫으면 됨 (휴대폰 처럼), 근데 배터리 소모도 없음4. 가벼움, 컴팩트함,5. 트랙패드는 윈도우 노트북것이랑 비교불가6. 이젠 게임빼고 뭐 거의 다 되지 않나 싶음.7. 유튜브 편집용으로 구매해도 데스크탑 500만원짜리보다 훨씬 빠르게 편집할 수 있거나 그럼 그냥 맥북사세요"
