,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"Apple 정품 아이폰 14 Plus 자급제, 퍼플, 256GB",최*희,5,고민 끝에 선택한 아이폰 14플러스..,우선 저는 아이폰 13미니 사용자였습니다.원래 계획에는 아이폰 14 일반라인은 계획에 없었고 아이폰 14프로 라인을 생각하고 있었습니다.새로 나온 다이나믹 아일랜드를 사용하고 싶었었거든요.몇일을 고민하고 프로 라인을 주문 넣었다 취소하고 다시 프로맥스도 결제했다 취소하고 막판에 그 구하기 어렵다는 프로 실버256기가를 구했는데..ㅋㅋㅋ아무래도 무게도 그렇고 내가 과연 프로의 기능을 잘 사용할 수 있을까 하다가 14는 바꾼 티가 별로 안 날 것 같아서 결국 배터리 깡패인 14플러스로 결정했습니다.물론 14프로 실버 256기가는 취소했다는..(근데 취소하자마자 역시나 바로 나가더라고요..역시 인기가..)13 미니를 사용했던 지라 막 그렇게 심하게 바뀌었다 하는 건 없지만 그래도 플러스를 선택함으로써 화면 크기는 확실히 넘사벽인 것 같았어요배터리는 아직 온지 몇시간 안되서 모르겠고요.손이 초딩 손이라 미니를 들었을 때에 비해 확 묵직함이 느껴졌다랄까??아직까진 잘 모르겠지만 확실히 색은 파스텔톤 덕후인 제 취향엔 확실히 저격했어요12 그린-> 13미니 핑크 ->14플러스 퍼플까지 완전히 제 취향입니다.애플이 다른 건 몰라도 색은 참 잘 뽑는 듯제가 그리 까다롭지 않아서인지는 몰라도 아직까진 불량은 아닌 듯 해요.이번에 카메라 살짝 더 좋아졌다고 하는데 한번 써봐야 겠네요
1,"Apple 정품 아이폰 14 Plus 자급제, 레드, 128GB",솔직뷰티녀,5,제게는 이번시리즈의 원탑이었어요!,"아이폰 13프로맥스를 쓰다가 14시리즈는 플러스로 구매해보았어요.여러 색을 놓고 비교하였는데 이번 시리즈의 레드는 정말 제대로 된 레드로 보여 정열의 빨간색을 선택했습니다.색상의 만족도는 최대치입니다. 하지만 제가 우려한 부분은 13프로맥스에서 14플러스로 바꿨을때 느낄 기능상의 차이였습니다.먼저 가장 차이나는(프로보다 못한) 부분은 카메라입니다.특히 접사촬영이 많이 차이납니다. 그래서 자세한 리뷰 사진을 올리고자 할때 프로 라인보다는 불편합니다.빠르기는 체감상 프로보단 느리다고 생각되었지만 충분히 빠르고 불편함이 없었습니다. 14플러스 라인의 최강점인 화면 크기!!아이폰의 자판 특성상 오타가 많이 생길 수 밖에 없는데요, 커다란 화면은 키보드 오타를 많이 줄여주네요. 이 한가지 장점만으로도 14플러스를 사랑할 수 있습니다.저의 솔직한 평가를 남기자면,카메라 기능이 중요하신 분은 프로 라인으로 구매하셔야 해요.14플러스의 카메라는 보통입니다.(프로와 비교할 시)저는 폰으로 간단한 소통과 검색, 쇼핑 정도만 하기때문에 화면만 크고 폰이 이쁘다면 오케이입니다.이렇게 이쁜 레드가 왜 후기가 많이 없을까요?정말 이쁜데 카메라로 담아지지 않아서 안타깝습니다.저의 사진과 평가가 구매에 도움되셨음 좋겠어요."
2,"Apple 정품 아이폰 14 Plus 자급제, 블루, 128GB",불도저처럼,5,자급제 만족합니다,"첫 사진은 성인남자 손 크기와 비교한 아이폰14플러스에요아이폰 se2 쓰다가 큰마음먹고 바꿨습니다늘 불편했던 배터리가 두배로 늘어난 느낌이라 충전기 안꽂고 몇시간째 쓰고있네요 화면도 큰걸로 바꾸니 평소에 눈아팠는데 이제 보기도 편하고 눈물도 안나고 좋을거같아요무게면에서도 40g이상 무거워졌는데플러스모델 자체가 얇게분산시켜서 그런지 별로 무겁다는 생각이 들지않았어요보호필름, 케이스도 다 쿠팡에서 구매했는데 딱 맞고좋구요폰 자체도 저렴하게 자급제로 잘 구매한거같아요카드할인에 이벤트 페이백까지 해서 110만원대 구매했네요금액이 큰데 대충두고간 택배부분이 조금 아쉬웠지만, 그래도 아껴아껴 잘 쓰겠습니다!배터리성능 100%, 여러가지 테스트 모두 만족입니다모두 양품받으시기바래요~"
3,"Apple 정품 아이폰 14 Plus 자급제, 퍼플, 256GB",김*준,5,역시 아이폰,"10월5일에 결재하고 19일 도착예정이었는데 13일날 받았네요포장은 꼼꼼하고 안전하게 왔고 같이 주문한 케이스랑 보호필름 충전케이블도 같이 받았네요기존 노트9 3년 넘게 쓰다가 밧데리가 거의 맛이간거같아서 큰맘먹고 아이폰으로 갈아탓네요처음 설치부터 헤매다가 연락처 옮기려고 다시 초기화 하고,,,,,쉽지않네요 ㅋㅋ차츰적응하고 있네요.. 터치감과 부드럽게 화면이 넘어가는게 좋고 카메라도 많이 써보진 않았지만선명하고 좋습니다..화면 작은걸 싫어해서 계속 노트시리즈 쓰다가 프로랑 플러스중 고민하다화면큰게 우선이라 플러스로 선택했습니다..프로는 구하기로 힘드므로,,,,,색상은 퍼플인데무난한거같구요....갤럭시에서 쓰던 이전버튼이 없어서 불편하기는 하네요그외는 다 좋아요"
4,"Apple 정품 아이폰 14 Plus 자급제, 퍼플, 256GB",곰탱눈탱,5,등록된 헤드라인이 없습니다,큰화면 쓰고싶고 프로맥스 무게가 부담스러우신분은 플러스구입하시면될것같아요 저에게는 플러스가딱입니다사진 프로모델만큼은 아니지만 그래도 이정도면 부족함없다고생각합니다저는 8플러스쓰다가 넘어와서 60hz주사율 거슬리는거 없어요120hz쓰시던 분들은 조금 고민해보시길 권해드려요13로맥스랑 비교해봣는데 개인적으론 무게감 차이 많이남니다
5,"Apple 정품 아이폰 14 Plus 자급제, 퍼플, 256GB",박*현,5,14프로랑 14플러스,"둘 다 써봤는데 저는 14플러스 승리... 프로 always on display 그거 키면 생각보다 배터리 빨리 닳고 개인적으로,,,, 좀 별로였어요... ㅜㅜ 휴.... 특히 무거워여,,(하지만 스페이스 블랙도 색 너무 이뿜..❤️ 그래서 둘 다 씁니다 ㅎㅎ.. 업무용이랑 본 폰으로)14플러스 손으로 들으면 무게 분산이 잘 되어서 그런지 하나도 안 무겁고 개좋아영... 퍼플 꼭 사세요 ㅎㅎㅎ 친구는 블루 샀길래 봤더니 예쁘긴했지만 공홈 사진보다는 조금 진한 느낌?이라 흰끼 파스텔 좋아하는 저한테는 퍼플이 더 취향이었어요~~!!!!!!!!!혹시 14프로 궁금하신 분들을 위해,,,사진 들고왔습니다 ㅎㅎㅎㅎ 최대한 선명하게 찍었어요!다들 기본라인은 퍼플, 프로는 스블로 하는거 추천드려요:)"
6,"Apple 정품 아이폰 14 Plus 자급제, 미드나이트, 256GB",몽환,4,"상품은 만족, 포장은 캐바케인듯","구매일자 : 10월 19일조금 늦게 구매할걸 그랬나 봅니다.추가할인이라니...ㅠㅠ꽤 오랫동안 아이폰을 사용하다가, 스마트폰 하드웨어 스펙들이 상향 평준화가 되었다고 판단되어안드로 이동을 하였다가 실망하고 다시 아이폰으로 아내와 함께 구매하게 되었습니다.1. 배송사전예약으로 아내는 먼저 받고, 저는 일주일 뒤 예정이었는데배송시기가 앞당겨져 아내와 같이 받을 수 있어서 좋았습니다.2. 포장(사진첨부 참조)각각 개별 포장으로 도착한 것은 좋았는데,포장하시는 분에 따라서 포장상태가 차이가 있다는 것을 처음 알았습니다.한개는 뽁뽁이로 포장된 상태에 에어완충팩이 2개나 들어 있었는데 비해서한개는 뽁뽁이만 포장이 되어 왔습니다.기기는 이상이 없었는데, 기분이 썩 좋지는 않았어요. ㅎ3. 사용후기자급제를 처음 구매하였는데,대리점 방문 후 등록하고 바로 사용할 수 있어서 좋았습니다.안드로이드에서 아이폰 이동을 통해서연락처와 사진, 앱 등을 옮길 수 있어서 간편하게 이동하였습니다.문자도 백업이 된다고 들었는데, 문자는 되지 않았으며,일부 앱들은 설치가 되지 않아서 앱스토어에서 직접 검색하여 설치하였습니다.4. 당황했던점- 뒤로 가기 버튼모든분들이 느끼겠지만, 안드폰 뒤로가기 버튼에 익숙해져 있다가아이폰을 받고나서 뒤로 가는 방법을 몰라 당황하였네요. - 무음모드 활성화음량 조절 버튼 위에 있는 물리적 버튼 이용하면 됩니다.- 아이튠즈를 이용한 벨소리 넣는 것- 하단바에 4개 이상 앱이 들어가지 않는 점- 실행중인 앱 종료그 외는 아이폰을 사용한 경험이 있어서 무난하긴 한데,아직까지 배우고 있는 중입니다."
7,"Apple 정품 아이폰 14 Plus 자급제, 퍼플, 128GB",조*진,5,무겁지만 오래가는 배터리,"디자인 사진은 유튜브 리뷰에 많으니 첨부 안하겠습니다. 일단 매우 무겁습니다. 저는 11 쓰다가 뒷면이 깨져서 넘어왔고 남편은 플립3 쓰는데 둘 다 엄청 놀랐습니다. 손목 안좋은 사람은 못쓰겠다 싶은.. 바로 다시 바꿀뻔 했습니다. 근데 쿠팡 리뷰나 제 친구의 아이폰 12미니를 들어보니 요즘 아이폰은 다 이런 것 같더라고요. 미니랑 무게가 비슷합니다. (생폰 쓰다가 엘라고 3종 보호구를 다 껴서인 이유도 있습니다)배터리는 11 쓰다가 와서 그런지 뭐 거의 탱크입니다. 일반처럼 사용하면 11은 반나절 가던거 이건 이틀은 갈 것 같네요. 요즘 밤에 충전 안하고 잡니다. 카메라는 어두운게 11, 밝은게 14입니다. 다른날 찍은 것이니 주변 신호등이나 나무 색감만 봐주세요. 다른친구들 12 13 써볼땐 완전 카메라가 좋아진 것 같더니 그냥 폰을 바꾸고싶어서 당시에 좋아보였나봐요. 11보다 확연히 좋다는 아닙니다. 저조도에서는 모르겠습니다. 화면이 커서 동영상을 자주 보거나 강의록을 보는 학생들한테는 유용할 것 같습니다. 색은 너무 예뻐요. 프로에서 약간 느껴지는 징그러움도 없구요."
8,"Apple 정품 아이폰 14 Plus 자급제, 레드, 128GB",정*아,5,등록된 헤드라인이 없습니다,"아이폰11 퍼플 쓰다가 넘어왔는데 무게도 더 가볍고 크기도 커서 좋아요그리고 레드 실물이 존예입니다,, 약간 형광빨강색인데,, 색감을 못담네요 결론은 예뻐요"
9,"Apple 정품 아이폰 14 Plus 자급제, 스타라이트, 256GB",이*하,5,XR에서 14플러스로 변경했어요..!,동생이 XR을 사년정도 사용하다가 박살나서 급하게 구매했어요! 배송도 빨라서 놀랐는데 xr보다 큰데도 불구하고 가볍고 너무 좋대요! 셀카 화질도 너무 좋아서 모공까지 보인다고 킹받는다네요 ㅎㅎ프로랑 플러스 고민하다가 플러스로 구매한건데 완전 만족한다네요!!자급제폰 처음써보는데 앞으로는 쿠팡에서 구매하려고 합니다~~
