,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"Apple 정품 아이폰 14 자급제, 미드나이트, 128GB",햎삐,5,"아이폰13, 14비교글 / 매우 비슷, 심플 그 잡채","우선 미드나잇블루 생각보다 실물이 너무 예뻐요동생이 아이폰 13을 쓰고 있어서 비교해봤는데요외관으로는 어떤게 13이고 14인지 모를만큼매우 똑같았어요!!왼쪽이 13, 오른쪽이 14인데 화질도 눈으로만 보기엔너무 비슷해서 뭐가 좋다! 는 없어요약간 14가 더 밝게 나오는 느낌..?14에서 새로운 기능이 있다곤 하는데 솔직히 자주 쓰는기능들이 아니라 잘을 모르겠고 ㅎㅎ그냥 깔끔하고 터치감 좋고 예뻐서 아이폰 씁니다^,^크기도 베젤도 너무 똑같고 만약 13쓰는 사람이 새 아이폰으로 바꾸셔야 한다면 굳이 14는 안써도 될듯해요기본색상만 사용했었는데 미드나잇블루 질리진 않을까생각했거든요 생각보다 튀지도 않고 딥한 블루 느낌이라적당히 포인트도 되면서 예뻐요자급제 폰으로 사면 더 저렴한 통신비로 이용할 수 있는거다들 아시죠? 알뜰폰 가입하셔서 사용하시면 월 3만원대도전화, 문자, 무제한 데이터 넉넉하게 사용하고도 남을정도로사용할 수 있으니 굳이 폰가게 가서 비싼요금제에부가서비스 가입하지 않아도 저렴하게 사용한다는 점이제일 큰 장점이네요! 유심도 바로 다음날 도착하고 통화음질이나 데이터 속도도똑같아서 자급제 폰을 사셔서 알뜰요금제에 가입하는걸 추천드려요!항상 새 폰 사면 비싼요금제 3달 + 기기값 2년 약정 이상해서 총 10만원은 기본으로 넘었는데 자급제폰 사용하면3만원대도 충분합니다^^용량도 넉넉하고 저처럼 사진이나 영상 많이 찍는 사람에게좋아요 물론 중간중간 정리 해야겠지만요^^,,"
1,"Apple 정품 아이폰 14 자급제, 미드나이트, 256GB",떵이S2,4,"22개월무이자할부, 자급제 아이폰14 추천!","♥ 구매이유아이폰14프로 쿠팡 사전예약 실패하고 포기하고 있다가 구매했어요.14프로를 구매하려고 했는데 가격도 비싸고.. 쿠팡에 자주 품절이라 그냥 14로 구매했습니다.♥ 구매가격완전 초초초초핫딜로 구매한것 같아요.제가 구매한날 롯데카드 20% 할인되어서 100만원 초반대에 구매했습니다.자급제 폰 이가격이면 진짜 대박이죠... 거기다 무이자 22개월 할부까지!!!카드할인은 매일 매일 바뀌니까, 구매하실분들은 매일 확인해서 할인폭 높은날 구매하면 될것 같아요.그리고 색상마다 할인폭도 다른것 같아요.♥ 아이폰 13프로와 비교기존에 13프로 쓰고있는데 뒷판이 무광이라 지문이 남지않거든요.이건 유광이라 지문자국 상당하네용....ㅋㅋ 거의 손 닿으면 지문이 찍혀요.이건 무광효과나는 케이스 꼈더니 괜찮아졌어요...ㅋㅋ 어차피 생폰으로는 안다닐거니깐!!나름 나쁘지않에요.카메라성능은 접사모드빼고는 큰 차이 없어요.!! 확실히 가까운 거리에서 사진찍으면 이건 초점 안맞춰집니다...ㅋㅋㅋ사진좋아하시는 분이라면 무조건 프로모델 구매하시구요, 그냥 쓰실분은 14로도 충분한것 같습니다.♥제 후기가 도움이 되셨다면 좋아요 버튼 꾹 눌러주세요><♥"
2,"Apple 정품 아이폰 14 자급제, 스타라이트, 256GB",양자컴퓨터,5,iPhone.  더이상 말이 필요한가요?,"13미니를 잘 쓰고 있다가 ‘화면이 좀 더 컸으면…’ 하는 마음에고심끝에 질렀습니다.14구입 전 (쿠팡에서) 14프로 골드 256gb 샀다가 결제취소 했었는데, 가장 큰 이유로 ‘무게’ 였습니다. 사전예약 성공하고 실제 무게 느껴보려 명동 애플스토어에 가서 프로모델 손에 들어보고 집에 오면서 구매취소 결정했어요.기존의 13미니 (140g) 에 비해 66g 이나 더 나가는 녀석을 감당하기가 버거웠기 때문이죠. 그래서 프로와 같은 화면 크기에 32g 정도만 더 나가는 14일반 모델로 구입하였고 결과는 ‘대만족’ 입니다.13미니에선 한손 조작이 편하게 되었는데 14일반에선 그게 좀 어렵다는 점을 제외하면요ㅎㅎ스펙상 14일반 172g 의 무게는 예전에 쓰던 7플러스 (188g) 보다 가벼우면서 화면은 1인치 약간 안되게 (1.5cm) 더 큽니다.8플 = 202g , X = 174g , XR = 194g , XS = 177g혹시라도 현재 7플, 8플, X, XR  쓰시는 분 중 ‘프로는 너무 무거워.’ 라고 고민하는 분이 계시다면, 아이폰14 일반 모델로 넘어오실만한 메리트가 충분하다고 생각됩니다.(그런데 말입니다. 무게를 제외하곤 모~~~든 면에서 14프로가 낫다고 개인적으로 생각합니다.)아직 사진촬영을 제대로 해보질 않아서 13미니와 사진 퀄리티의 차이나 퍼포먼스 차이에 대해 기재하긴 어렵지만 13미니 보다 GPU 코어를 1개 더 쓰고 (4개 에서 5개로)메인 카메라 조리개값이 살짝 민감해졌고 (f/1.6 에서 f/1.5)램이 2gb 더 탑재된 6gb 이고 (리프레쉬 현상 개선 예상됨)<포토닉 엔진> 기술로 저조도 사진 향상 등등여러 부분에서 더 낫지 않을까 하는 생각이 듭니다.제 리뷰가 여러분들의 선택에 조금이나마 도움이 되었기를 바랍니다.다들 행복하시고 환절기 감기조심하세요.추가 1.> 13미니 사용패턴과 일치하진 않지만 비슷하게 가져갔는데, 배터리 용량이 13미니 대비(약 34%) 커진만큼 사용시간이 길어진 부분도 체감됩니다.추가 2.> 제가 듣는 수업시간에 필기속도를 따라가지 못 하면 (칠판의 내용을) 사진으로 남겨야하는 상황이 생깁니다. (제일 앞자리 에서 찍었을때) 13미니 와 14일반 으로 찍었을때의 가독성이 차이가 나네요.추가 3.> 13미니와 비교시 네비, 메신져, 간편결제, 금융 앱들 열때 속도가 뭔가 좀 더 빠른 것 같습니다. 그리고, 쿠팡앱, 네비앱 (특정 목적지 검색한 상태), 커피주문 앱 (특정상품 띄운상태), 포털사이트 특정기사 (댓글 작성 중 멈춘 상태), 간편결제앱 잔액조회 상태, 사파리 열어놓은 상태 에서 카메라로 사진을 여러컷 찍고 열어놓은 앱들에 다시 들어가봤는데, 리프레쉬 없이 (사진 찍기전) 딱 멈춰놓은 상태 그대로 다시 창이 열렸습니다. 근데, 이게 테스트 조건에 얼마나 혹독했는지는 알 수 없단 점 양해부탁드립니다.근데, 설마 이게 2gb 더 많은 Ram빨 덕분인건가? 싶기도 하네요."
3,"Apple 정품 아이폰 14 자급제, 스타라이트, 128GB",이*주,5,사전예약은 일찍 하는게 최고 !!!,"중2딸 아이폰 X 쓰다 약정 끝나서 사전예약으로 주문했어요사전예약 첫날부터 주문하려 했는데 색상 때문에 고민하다 결국 하루이틀 늦게 했더니 점점 사전예약 혜택이 줄어들더라구요 ㅠㅠ앞으로는 무조건 첨에 해얄것 같아요~~ 온식구가 다 아이폰 쓰는데 제가 아이폰11사면서 기기변경으로 30개월 할부로 샀는데 사고 나서 나중에 보니 할부이자도 내고 기변이라 지원받은 것도 없이 제값 다 주고 산 느낌이라 그뒤로는 꼭 자급제로 사야겠다 생각했어요 이번에 쿠팡에서 자급제로 사전예약 10퍼 할인, 와우회원 5퍼 추가할인에 카드 22개월 무이자 할부하니 저렴하게 잘 산것 같아요 초반에 샀으면 카드 신규발급해서 15마넌 캐쉬백도 받았을텐데 그걸 못받은 게 넘 아쉽네요 ㅠㅠ 폰을 지난주 금요일에 받아 하필 월욜까지 연휴로 수욜에 유심받고 알뜰폰 요금제로 번호이동 하느라 목욜에나 새폰으로 개통했네요 다행히 뽑기 잘했는지 아직까지 아무 이상 없고 작동잘 됩니다 정품 실리콘 케이스도 같이 사서 끼우니 넘 예쁩니다 역시 화이트가 진리인것 같아요 ^^ 담에도 폰 살때는 자급제로 무조건 초반에 사전예약할거에요!!!"
4,"Apple 정품 아이폰 14 자급제, 스타라이트, 256GB",김*직,5,아이폰 자급제도 쿠팡이 좋아요,"지난번 s22울트라 사전 예약은 쿠팡에서 실패해서공홈에서 구매했는데이번 아이폰 14 사전예약은 성공!!!쿠팡에서 사전예약하면 좋은점배송상태를 정확하게 알수 있어서 좋아요쿠팡에선 정확한 날짜를 알려주니미리 케이스랑 필름을 구매해 놓고 기다릴수 있죠그리고 배송후 사진으로 찍어서 보내주니 믿을수 있죠아이폰은 8+, 12미니 그리고 14 사용하게 되는데(셋다 실사용중, 이전에 아이폰4 써본적 있죠)아이폰은8+ 아직 버벅임 없이 사용할 만큼만듬세도 좋고 업뎃을 계속해 줘서쾌적하게 사용하는거 같아요8+과 s22 울트라 큰사이즈 화면 사용하다가서브로 12미니 사용해보니작은 사이즈의 만족도도 좋더라구요작고 가볍고 다만 영상화면이 작다는거 빼곤 만족도가 아주 좋았어요그래서  14 기본 사이즈가 평소 데일리로 가지고 다니는거 좋을거 같아서이번엔 14기본 사이즈로 구매함배젤이 거의 없어서  화면크기는 8+랑 비슷해요(카메라는 s22울트라로 만족하고 있어서 프로는 생각 안하고 있었어요)이번 아이폰 14는 개봉만 했을뿐인데오래동안 사용하리라 기대하고 있습니다."
5,"Apple 정품 아이폰 14 자급제, 스타라이트, 128GB",신*주,5,아이폰 14.  Brilliant!!!,"1️⃣구입계기: 2001년생 아들에게 줄 선물로 구입했습니다.아이가 애플 제품만 쓰고 있어서 애초에 갤럭시 제품은 고려대상이 아니였고, 기존 쓰던 2020 se2 128g 제품이 배터리가 빨리 닳는 증상이 시작되어 사주게 되었어요. 2️⃣이 모델 선정 이유: 아이가 한손에 쏙 들어오는 사이즈를 선호해서 플러스 모델은 너무 크다 하고, 프로는 가격대가 너무 비싸다고 필요 없다하는 착한 아들에게 적당해 보였습니다. 3️⃣색상 선정 이유: 기존 쓰던 se2 2020 모델을 레드로 사줬었는데 그 색깔에 질색 팔색을 하던 아들이 흰색이나 블랙을 원했어요.. 그래서 화이트 색상을 골랐는데 아주 맘에 들어합니다. 제가 보아도 고급스러운 화이트 컬러가 맘에 쏙 듭니다. 쌩폰으로 쓰면 좋겠지만 그건 너무 위험 부담이 크네요. 저렴한 투명 케이스 구매해서 끼우니 정말 고급스럽습니다. 애캐플도 필수!!!! 4️⃣옆에서 지켜본 성능: 하드웨어  수치가 문제가 아니란걸 애플 제품을 보면서 매번 느낍니다. 최적화된 기기 셋팅과 소프트웨어가 현재의 애플을 만든것 같아요. 램이 6g인데도 8g인 제 삼성 갤럭시 폰 보다 더 날아다니는 성능을 보여줍니다. 부드러운 화면 전환, 랙 없는 처리성능.. 젊은 아이들이 왜 애플에 열광하는지 알수 있는 일면들입니다. 5️⃣옆에서 지켜본 디자인: 유난히 돌출된 카툭튀. 좀 거슬립니다. 하지만 그 자체가 디자인에 거슬리지는 않습니다. 애플은 뒷면이 더 예쁜것 같아요. 50대인 저 조차도 매료될만한 디자인입니다. 별거 없는데 희안하죠. 솔직히 제 아이가 들고 있으니 더 예쁜것 같아요.젊은 친구들이 들고 있으면 갤럭시 보다는 아이폰이 더 예쁩니다.주관적인 생각입니다만, 아이폰 선물 받은 아이의 여동생인  고1 딸아이는 갤럭시 s22화이트 모델을 얼마전 사주었는데, 솔직히 아이폰 14 모델이 몇배나 더 예뻐요. 6️⃣구매가:첨부한 사진에 있는 가격은 애캐플 포함 가격입니다. 기기 가격만은 1,040,850 이었어요.로켓 와우 7% 할인에 kb 카드 11% 할인 받았어요. 2022년 10월 29일 기준 어디에도 찾아 볼수 없는 가격이라  절대 만족입니다. 단 매일 매일 자주 가격이 변동 되니 장바구니에 담아두시고 자주 카드사별로 확인 하셔서 최대한의 할인 혜택 받아보시길 바랍니다.그리고 동일 모델에서도 컬러별로 할인폭이 달라지니 색상에 큰 영향 안 받으시는 분들은 색상별로 할인을 꼭 확인 하세요. 가격이 높다보니 몇 % 변동도 크게 느껴집니다."
6,"Apple 정품 아이폰 14 자급제, 미드나이트, 128GB",김*재,5,14 졸라좋다~~,"갤럭시만 쓰던 본투비 갤럭시 유저였는데갤럭시가 갈수록 메리트가 떨어지고애플페이가 한국에 도입된다는 소식에평소에 아이폰을 감성값이라 여기며 멀리하던 나였지만이제는 정말 써봐야 하지 않나 하고 14를 써보게 되었습니다. 첫 5시간 소감은아 역시 갤럭시가 쓰기 편하네..였습니다하지만 그 후로 적응되고아이폰도 괜찮다 !! 라고 생각하게 되었습니다.솔직히 많은 기능을 사용하진 않아서뭐가 뚜렷하게 좋다는 잘 모르겠어요그런데 애플끼리의 연동, 아이클라우드는 참 좋더군요...어느새 에어팟 맥스까지 사게 되었습니다.이대로 아이폰을 계속 쓸거같다는 예감도 드네요"
7,"Apple 정품 아이폰 14 자급제, 퍼플, 128GB",이세침,5,아이폰 14 퍼플!,아이폰14 퍼플색상!솔직 후기 입니다!구매하실 때 도움이 되셨으면 좋겠습니다.● 원래는 아이폰 쓰다가 타사제품으로 넘어가서 몇 년 사용하고  다시 돌아왔습니다. 마침 아이폰14가 나온다길래 구매하게 되었는데굉장히 만족합니다.퍼플은 기본이랑 프로중에 색이 기본이 마음에 들어서 프로가 아니고 기본을 샀어요! ● 사전예약으로 구매해서카드할인 10퍼받아서 구매했습니다!예약날 오류가 나서 못 살것 같아서 조마조마 했어요ㅠㅠ아이폰운 로켓배송으로 10월 7일날 배송받았습니다● 역시 아이폰답게 겉모습은 크게 차이가 없습니다아이폰 이전버전이랑 카메라빼면 크게 차이없어서 디자인은 무난했습니다.색상을 블랙 화이트 고민하다 퍼플로 구매했는데 실제로 보면 더 이쁜 밝은 보라색이라 굉장히 마음에 들었습니다!용량도 128GB로 넉넉해서 좋네요.
8,"Apple 정품 아이폰 14 자급제, 퍼플, 128GB",달려라화니,4,안전 배송 (직접만남) 되었어요,3주 사용 후기)1. 좋아요.. 좋아요...!! 2. 11쓰다가 세단계 넘어왔는데 조금 더 빠른 느낌이에요3. 128기가라 좋네요ㅋ 영화다운은 안받아서 늘 60-70기가 필요했는데 드뎌 넘어왔네요4. 퍼플 색깔이 진짜 이쁩니다 실물보고 다들 탄성을^^5. 카메라 화질은 솔직히 모르겠어요 ㅎㅎㅎㅎㅎㅎ 프로사면 좀 달랐겠죠!!?6. 애플케어 동시 가입해서 샀어요. 저절로 일련번호들이 저장되서 메일이 오더라고요7. 맥세이프 첨 해보는데 신세계에요. 자성두배 케이스 끼우고 맥세이프 하니까 밤에 깜깜할때 구름에 달가듯이 찰싹 충전이 되니 좋아요.. 자성 두배 케이스 없이는 좀 미끌거립?니다. 맥세이프 케이스 추천드려요.8. 11핸드폰도 늘 강화유리와 케이스로 안전히 써서 거의 삼십만원에 팔아서 ... 거의 80만원에 이 제품 구입한 셈이네요. 이번에도 강화유리 안전 케이스 장착했습니다.9. 단점 하나 카툭튀 심해서 폰이 눕혀도 수평각이 안나와서.. 카메라 스크래치날까봐 보호케이스 카메라에도 끼웠습니다.10. 저같이 게임 안하는 사람은 일반 아이폰14 추천드립니다!
9,"Apple 정품 아이폰 14 자급제, 스타라이트, 256GB",김*늘,5,배송도 빠르고 사전예약으로 싸게샀어요!,"아이폰11 쓰는데 배터리도 너무 빨리 닳고 3년 넘어서 바꿀 때가 되어서 14 프로 256 실버 사고 싶었는데 계속 물량이 안떠서 그냥 14 스타라이트로 사전예약으로 와우회원과 10프로할인 받아서 샀어요! 예상 배송일자보다 사고 다음날 와서 너무 당황스럽게 빨리왔구요,,,ㅋㅋㅋㅋㅋ역시 쿠팡이네요 무게도 프로보다 가벼우니까 내 손목 보호 한다 생각하고 사용중인데 11보다도 가벼워서 만족중입니다~~ 카메라만 아니면 14도 괜찮은거 같아요!"
