,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950QCT-A58A",최*비,5,최고의 노트북 입니다. 망설이지 마십시요.구매하세요,"삼성 화이트박스에 노트북이 멋지게 들어있더군요^^컬러도 정말 마음에 듭니다. 촌스럽지않은 세련된 짙은 블루 컬러입니다. ㅠㅠ 이렇게 색상을 잘 뽑아냈을 줄이야…2학기부터 다시 학교를 다녀야해서,저도 정말 엄청나게 비교하고, (LG랑 애플의 맥북)고민하다가 구매한 거였습니다.그런데 받고보니..고민한 시간들이 아깝더라구요!진작 이 제품으로 바로 살걸 그랬습니다! 15인치인데 친구들 15인치 노트북보다 화면이 훨씬 시원하고 크게 잘 보입니다!! 어제 다들 노트북 모델명 뭐냐고 물어봤어요. 그리고 갤럭시 버즈 충전 잘 되고요. 폰도 올려두면 당연히 충전됩니다!새벽에 노트북 잘 깔렸는지 확인하고 싶어서,노트북으로 새벽 1시 넘어서 상담원 연결해서프로그램도 다시 제대로 깔리게 서비스 받았습니다!!가장 좋은 부분이 바로 이 서비스 부분입니다.노트북을 켜고, ESC키만 누르면 24시간 상담원과바로 연결이 됩니다!!그래서 새벽 1시 넘어서 서비스 다 받았어요~~~~정말 응답이 빠르더군요!노트북을 최신 업데이트 알아서 원격으로 다 처리해주십니다1앞으로도 물리적인 고장이 아닌 이상,노트북에서 ESC키만 누르면~~24시간 무상으로 원격조정 서비스로 진단 바로 받고,서비스로 받을 수 있다고 하네요.노트북 컨디션 유지하기에 정말 좋은 서비스같아요^^컴맹들에게는 정말 좋은 희소식이지요^^!고민하지 말고 구매하십시오.저는 정말 후회안합니다.접히기도 잘 접히고요~^^무겁다고 하신분도 있는데, 저는 솔직히 하나도 안 무겁습니다!그리고앞으로 나올 맥북도 이제는 15인치 크기, 17인치 크기로 나온다고해요!제가 오프라인으로 직접가서 제품 실물 비교했을때도...13인치 ^^;; 맥북들은 정말 너무 작더라구요.긴 시간을 노트북을 사용해서 과제물 처리해야하고,인강 들어야 한다면, 개인적인 생각으론 화면은 시원하고 커야합니다.! (암요~ 크고 시원하고 A/S 바로바로 되는게 과제물 처리할때는 최고이지요!)그리고 삼성은 모든 프로그램들이 다 돌아가지요마이크로 오피스부터 한컴까지 ^^!!펜도 너무 좋아요 필기감.. 장난아니네요^^!!이 좋은기분... 모두에게 알리고싶습니다 하하하^^!!아, 엄청나게 좋은 화질입니다~~ (저는 컴알못이라서 이유는 모르겠지만..)친구들 노트북들하고 어제 동시에 켰었는데이 제품이 가장 화질도 끝내줬습니다 ^^!!공부하다 스트레스 받을 때,영화한편 감상하기도 정말 좋아요.눈이 안피곤합니다 (정말 최고!)너무 만족해서 적는거라서 ...글을 도대체 어떻게 마무리 해야할 지를 모르겠습니다.이 글 보신분들은모두 건강하시고요아프지마시고요적게 일하시고 많이 버십시요!"
1,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950QCT-A58A",김*은,5,배터리 남은시간이 계속 바껴요;;,처음에는 받았을 때 너무 좋았는데 쓰면서도 계속 좋았는데 배터리 남은 시간이 90퍼가 넘은 상태인데도 4시간30분 이러고 몇분뒤에 보면 갑자기 12시간이라 그러고 지금은 또 7시간 10분남았데요... 이거 불량 아닌가요..? 처음 산거라 무섭네요.. 교체든 문의 답변이든 해결 부탁드려요ㅠㅜ태블릿처럼 쓸 수 있는건 좋지만 책상위에만 올릴 수 있어요(뒷면이 키보드있으니까 당연한 말) 화면 큼직하고 윈도우 설치돼서 오니까 좋아요오래쓰고싶네요>> 배터리는 사용환경에 따라 다르다고 설명들었습니다 :)컴터는 넘 좋아요 삶의 질이 올라가는 느낌..!
2,"삼성전자 2020 갤럭시북 플렉스 15.6 + 스마트 S펜, 로얄 블루, 코어i5 10세대, 256GB, 16GB, WIN10 Home, NT950QCT-A58A",강*원,5,생각보다 가볍고 조용하고 예쁘다,"플렉스 생각보다 가볍고,디스플레이 크고 디자인 상당히 예쁨 3일정도밖에 안되었지만^^ 태블릿(갤탭s6 5g)으로 부족했던 문서작업 정말 편하고 만족스럽게 할 수 있어서 좋습니다..일단 360도 회전되는게 메리트가 큰거같아요..  타이핑 많이 할때는 무선 키보드 연결해서 모니터로 활용하기도 좋네요~~프리미엄급 노트북이라서 그런지,,,만족스러워요"
3,"삼성전자 2020 갤럭시북 플렉스 15.6 + 스마트 S펜, 로얄 블루, 코어i5 10세대, 256GB, 16GB, WIN10 Home, NT950QCT-A58A",김*남,5,굿입니다,며칠동안 컴고르느라 유튜브 리뷰도 보고 오프라인 매장도 다니고 고생 많이 했는데 역시 플렉스로 고른 보람있네요~디자인도 넘 이쁘고 플렉스라 패드겸용으로 활용성도 좋아요~^^ 걱정했던게 리뷰보면 자판 타자감이 안좋다고 되어있는 글들이 많던데 전 구매후 4일째인데 전혀 불편함 못느끼고 잘 이용하고 있습니다. 가격이 좀비싸지만 아내 생일선물로 쫌 무리해서 샀네요.
4,"삼성전자 2020 갤럭시북 플렉스 15.6 + 스마트 S펜, 로얄 블루, 코어i5 10세대, 256GB, 16GB, WIN10 Home, NT950QCT-A58A",김*호,5,기능 공부해서 사용자 고급지게 사용하세요,상품 설치후 재포장 상태 깔끔하게 배송되었으며 상품 코발트 블루 고급지게 보이고 사용시 기능 더 원활하게 사용할려면 공부를 해서 사용해야 그 기능을 고급지게 사용할수 있을것 같습니다
5,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950QCT-A58A",권*진,4,플렉스 디자인 정말 예쁩니다!,열심히 썼는데 아까 쓴건 상품평이 아닌가 어디론가 날라가버렸네요.일단 제가 메탈9을 원래써서 비교차원에서 작성합니다. 성능은 뭐 말할것도 없이 플렉스가 압살이지만메탈의 경우 밑에 고무가 있어 잘 고정되지만 플렉스는 슉 미끄러지는 느낌입니다. 그외에 메탈이 오래되면 스크린을 감싸는 고무가 헐거워져서 빠지는데-제꺼도 빠져서 끊어짐;;플렉스는 그런거 없이 그냥 커버고요터치펜! 느낌이 정말 좋습니다. 원래는 이참에 타블렛살까했는데 이녀석 광고한번 보고 노트북도 오래되었으니 새로 맞춰야지하고 구입했는데 만족합니다ㅎㅎ노트북은 삼성이 진짜 기똥차게 만드는듯
6,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950QCT-A58A",박*희,5,만족합니다,기존 펜s 노트북 구입후 만족스럽게 쓰고 있다가 기숙사 들어가는 딸 학습용으로 펜s 다음버전인 플렉스를 구입합니다. 모서리가 둥글둥글한 펜s보다 디자인이 각져 있어 전체적으로 세련되 보이네요.키보드 그립감이 더 개선되었고 전체적으로 살짝 밝은 블루색으로 아주 고급스럽습니다. 플렉스는 뭐니뭐니해도 화면터치에 익숙한 스마트폰 세대에 가장 이상적이죠. 아무리 가벼운 노트북이라도 화면터치가 안되는건 불편하더라구요. 제 딸은 360도 접어 수학문제 연습장으로도 잘 쓰더라구요. 또한 버즈 무선충전까지 가능하니 참 편리합니다. 다만 기존상품은 무선블루투스 마우스와 노란색 파우치가 기본으로 들어있었는데 이건 다 없네요. 같은 15.6인치라도 모서리차이로 파우치 호환은 안됩니다. 따로 구매해야해서 아쉬워요. 전 노트북사용시 무선마우스도 꼭 사용하는데 패키지에 있었다면 더 좋았을것같습니다.
7,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950QCT-A58A",허*애,4,펜S보다 더 이뻐요~,"대학생 딸을위한 선물입니다. 여러제품 비교후 구매했는데요,디자인은 뭐 말할거 없네요.사고보니 키보드는 치는맛이 영 덜합니다.납작하니 너무 평편. 들러붙어서 터치감이 없어요.속도,속시원합디다. 다만 가격이 좀 아쉽네요.암튼 잘 쓰겠습니다~참 이제품은 얼굴인식 기능은 안됩니다. 펜s는 되구요."
8,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950QCT-A58A",정*진,5,등록된 헤드라인이 없습니다,유투브 에서 무게가 있다고 했는데 개인차인듯  가볍습니다화질은 정말 좋아요말로 표현이 안 될정도로 색이 살아있네요마우스나 파우치는 따로 구매해야합니다 윈도우는 깔아져서 나옵니다엑셀이나 한글은 따로 설치해야합니다 없어요
9,"삼성전자 2019 갤럭시북 플렉스 15.6, 로얄 블루, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950QCT-A58A",김*숙,5,현명한 선택이었네요!!^^,아이패드와 노트북을 두고 고민을 많이했습니다.아이는 아이패드를 원했으나 학습용으로  화면이 조금 더 컸으면 좋겠다는 저의 고집으로 선택했는데 정말 시야가 편안합니다.(스피커기능 짱!입니다.)무선마우스가 포함되어있지 않아 아쉬워하며  있는 거 옮겨 쓰다가 지금은 아예 뺐습니다.손으로 드래그하니까 필요가 없네요.처음에는 손으로 드래그가 안되어서 안되는거였나? 하다가 삼성업데이트 다운받으니 바로 되네요.지인이 이렇게 고가 제품을 온라인으로 시키냐고 했지만포장상태.배송.기능아주~만족합니다.^^
