,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950XCR-G58A",한*숙,5,빠른 배송과 적당한 가격... 만족합니다.,"아마 쿠팡에서 노트북을 구매 하기로 했다면, 자주 이것저것 사시던분일듯하네요.저는 유럽에서 살면서 아마존에서 정말 별의 별것들 - 무지 비싼 명품의류나 시계 등등 - 구매 해본적이 있어서 배송에 크게 의문없이 주문했어요. 하지만 새벽에 잠에서 깨서 괜히 걱정이 되더라구요. 그동안 쿠팡 새벽 배송에서는 먹거리나 소소한 가정용 소비재 위주로 구입했기 때문에 분실 걱정해본적은 없었어요. 그런데 노트북은 스마트 와치와 같이 배송되는 거라( 200만원 이상 사용할수 있는 쿠폰을 사용하다보니) 어째 걱정이 되더라구요.. ㅎㅎㅎ 사진처럼 저렇게 두고 갔네요.. 아래 택배함도 있는데, 좀 넣어 주고 잠겨 두고 가시면 정말 좋은데..아마 배송 기사님도 이게 노트북인줄 모르게 포장이 되어 있나 봅니다. .. ㅎㅎㅎ암튼 무사히 잘받았습니다. 고객의 마음까지 편안하게 해줬다면 더 좋았을듯 합니다. 삼성이온  구매하기전에  그램14인치와 삼성전자 갤럭시북 이온 노트북 아우라 실버 NT950XCR-G58A 15인치에서 많이 갈등 했어요.  여기저기 찾아 보고 후기 다 읽어보고 하루종일 고심하다가 삼성이온으로 결정하고 , 다른곳 검색해보니 제가 구매한 가격보다  20만원정도 더 저렴한데 2월 15일 이후 배송이라서 예약? 주문 하는 위주라서 그냥 배송빠른 쿠팡에서 쿠폰까지 사용해서 구매결정 했어요. 가격은 조금 비싸지만, 당장 내일 출국이라서 필요한 문서들 옮기고 할려고 새벽배송 선택.노트북의 성능은 음~~~ 정말 처리 속도가 작년제품보다 빨라 졌어요.. 완전 속도에 반함. 그리고 뭘 설치 할것도 없어요. 윈도우10이 깔려서 오니 .... 할것도 없고 , 기존 계정으로 연동하니 기존 노트북과 똑같은 인터넷 환경이 설정되고 아주 편리 하네요. 뭐 다른 노트북도 다 그렇지만, 몇년전 까지만해도 노트북 바꾸면 하루종일 설치 하느라고 아무것도 못햇는데.. 이제는 계정만 입력하면 그전에 사용하던 그대로 환경이 설정되니.... 노트북이 낮설지도 않고 너무 좋네요. 단점이 있다면, 지금 좌판이 넘 크진것이 불편??? 아님 적응전이라서 그런가요... 암튼 오타 심하게 나와서 힘드네요. 그리고 오른쪽 Shift 키가 가장 단점이 될듯합니다. 외국 좌판에서는 오른쪽 Shift 를 자주 사용하지 않지만 한글에서는 정말 오른쪽  키를 많이 사용하는데, 지문인식기와 나란히 붙어 있어서 받침타이핑을할때 자주 오타 나고 있어요... 결론은 빠른 배송, 바로 사용가능한 노트북 , 최신의 빠른 성능... 이모든것이 참 좋습니다."
1,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950XCR-G58A",김*희,5,"배송, 제품 대만족, 마우스 미포함은 다소 아쉬움","그램하고 비교하다가 갤럭시북 이온으로 결정하고, 연휴 지나고 사려다가 쿠팡에서 설날 당일 배송가능하다고 해서 1/24 23시쯤 주문해서 1/25 설날 당일 저녁에 받았습니다. 명절에도 빨리 받을 수 있어 너무 감사드립니다.제품 구성은 노트북, 충전기 2개랑 간단한 설명서, 윈도우10으로 끝 입니다. 카드할인 10만원으로 다나와 최저가보다 싸기에 윈도우 정품이 맞나 살짝 우려도 했는데, 윈도우10홈 DSP 정품 DVD 동봉되어 있고, 이미 윈도우즈 설치되어 있어서 DVD 포장의 제품 키 입력해서 정품 인증 받으면 됩니다.화면 색상 선명하고, 밝기도 매우 밝은 편인데 아웃도어 모드는 실내에선 눈이 아플 정도입니다.아우라실버 색상도 각도별로 조금씩 다른 색으로 보이는게 개인적으론 LG 그램 화이트나 다크실버 보다 좋아 보입니다. 노트10 아우라글로우보다는 차분하고제품, 디자인 다 좋은데 마우스 미포함이라 불편하네요. 여분 유선 마우스 연결해서 업데이트 및 설정 등 진행했는데 마우스는 기본사은품으로 동봉되었다면 금상첨화였겠습니다. 충전기도 그램보다는 큰데 이미 알고 선택한 것이라 불만은 없습니다.제품, 배송 모두 만족스러워 지인들에게도 구매 추천할만 하고, 다만 마우스는 미리 준비가 필요합니다."
2,"삼성 2019 갤럭시북 이온 15, 아우라 실버, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950XCR-G58A",김*준,4,가볍고 모던한 디자인의 다양한 용도에 적합한 노트북!,"기존 LG노트북을 썼던 터라 삼성 노트북을 경험해 보고 싶어 고심끝에 구매한 삼성 노트북 이온!UHD 내장 그래픽카드의 한계를 극복하고자 MX250 지포스 그래픽 카드가 내장된 15인치 이온으로 구매했습니다.약 2주가 넘게 사용해보니 장단점이 보이더군요.장점 :  가벼움          얇은 두께 (아이폰 정품 케이스 비교)          오래가는 배터리          밝은 화면 (아웃도어 모드 생각보다 훨씬 밝음)          지문인식 생각보다 편함 (로그온 패스워드 있을시)          오염이 덜되는 바디 재질          예쁜 디자인 (각에 따라 달라지는 바디컬러, 각진                                 모서리로 깔끔)          스피커 음질 (AKG 특유의 밸런스 좋은 맑은 음질)단점 : 팬소리가 가끔식 크게 들림         오른쪽 시프트 버튼 작아서 적응필요쿠팡에서 고가의 전자제품을 처음 구매했는데 안전한 포장과 배송에 매우 만족합니다.전체적으로 고심끝에 구매한 제품이라 지금까지는 만족하면서 사용하고 있습니다!"
3,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 16GB, Linux, NT950XCR-G58A",용이리,5,훌륭,작년에 엘지그램 15인치 구매하고 매우 흡족 했는데이번에 구매한 삼성 노트북은 또 색다른 느낌이네요게임을 좋아해서 그래픽 좋은걸로 살려고 검색하다가구매 했어요. 게임용 노트북은 모양이 이쁘질 않아서 패스하고실버인데 색상이 은색이 겸미된 화이트 색상에 가까워요키감도 촣고요. 엘지랑 상반 되는데 둘다 장.단점이있는거 같아요. 글램 터치 15인치 구매 할려다가 엘지는있어서 이번에 삼성걸로 구매 했는데 화질도 짱짱하네요.키보드 불도 참 예쁘게 들어오네요.세밀한 부분은 글램보다 더 나아 보여요게임도 한번 돌려 봤는데 일반 노트북 보다 훨씬 부드럽고잘 돌아가네요. 거의 게이밍 노트북 수준입니다.게임 좋아 하시는분들은 강추 입니다.그래픽 카드에 따라서 차이가 엄청 나네요램도 16기가 라서 그런지 겜상에서 렉도 거의 못 느끼네요.
4,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950XCR-G58A",고*호,5,휴대성과 디자인 그리고 성능까지 다 잡은 노트북^^,몇 주동안 고민고민 하다가 지름신 강림 검색을 열심히 하다가 가격도 괜찮고 로켓배송까지 되는 곳이 있어서 바로 구매 삼성카드로 구매했는데 24개월 무이자여서 일단 부담없이 구매를 할 수 있었습니다.오후 3시 좀 넘어서 구매했는데 오전 1시쯤 배달 완료 엄청 빠르게 배송이되어서 일단 너무 좋았습니다. 박스도 안전하게 너무 잘 포장해주서서 너무나 안심이 되더라고요. 잠도 이루지 못하고 바로 언박싱 실시 사길 잘했다는 생각이 파도처럼 밀려오면서 이것저것 만져보느라 거의 밤새고 출근했지만 너무 좋더라고요일단 윈도우10 홈버전이 설치되어 있어서 윈도우 설치가 힘드신 분들에게는 좋을 듯합니다. 같이 동봉된 시디키를 기본 세팅 후 입력하셔서 정품인증 받으셔야 하고 너무 가볍고 작아서 파우치는 필구 일 듯합니다. 생각보다 키감은 전에 쓰던 노트북에 비해 좋은 것 같지는 않지만 차차 적응되리라 봅니다. 무게는 너무 가벼워서 가방에 넣고 다니는데 전혀 무겁지 않았고 베터리도 완충하고 나가서 사용해도 넉넉해서 굳이 충전기를 가지고 다니지 않아서 좋았습니다.사진은 실제 윈도우 구동시킨 화면이며 디자인 너무 이쁘고 윈도우 구동속도가 빨라서 매우 만족합니다.
5,"삼성 2019 갤럭시북 이온 15, 아우라 실버, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950XCR-G58A",박*혁,5,가벼운면서도 문제없다.,"이 노트북을 구매하기까지 굉장히 많은 비교와 고민을 해왔었는데, 결론적으로는 '가벼운'노트북과 그 중에서도 가벼운 게임정도는 돌아갈 수 있는 노트북으로 폭을 좁히다보니, 갤럭시북 이온으로 오게 되었다. 많은 사람들이 '단점'이라고 꼽는 오른쪽 쉬프트키 크기의 문제는 내 타법에는 크게 문제되지 않았고 타건이 바닥을 친다는 느낌이 든다는것도 평소에 데스크탑에서 무접점 키보드를 사용하는 나에겐 단점이라고 생각되지 않았다. 그 외에는 다 장점이라고 생각되는데 먼저 가벼운 무게, 확장성, 썬더볼트 지원, 색감, 야외에서도 밝은 화면 등이 되겠다. 아직 많이 사용해보지는 않았지만 지금까지는 매우 만족하며 사용하고 있다."
6,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950XCR-G58A",차*훈,5,배송 빠르고 제품 이상없음. 추천~!,"2012년도에 삼성노트북을 구입했었고 8년만에 삼성 갤럭시북 이온 노트북을 구입했습니다.저는 윈도우10 설치가 된 모델을 구입해서 배송이 늦어지진 않을까 걱정했는데, 역시 쿠팡 배송은 저를 실망시키지 않았습니다. 결제 다음날 오후에 배송이 되었습니다.윈도우10 설치 모델이라서 박스 비닐은 벗겨져있었습니다.(어쩔수 없는 부분)갤럭시북 이온의 장점은 무엇보다 모니터 화질이 아닐까 생각합니다.QLED에서 나오는 화질은 8년된 제 노트북을 너무 초라하게 만드네요 ㅋㅋ모니터를 열면 사진과 같이 힌지가 본체를 바닥에서 뜨게 만들어서 자연스럽게 열 배출이 원할하게 만들어 주네요.무엇보다 말이 많은 키보드 타자감은 조금 적응이 필요하지만 저한테는 별문제가 없어보입니다. 오히려 낮고 소리가 적게나서 도서관같이 조용한 곳에서 쓰기 좋을거 같습니다.또한 팬 돌아가는 소리가 엄청 크다는 후기를 본적이 있는데,, 저는 어도비 라이트룸을 돌려도 아직까지는 소리가 크다는 느낌을 받지는 못했습니다.계속 써봐야겠지만 아직까지는 제품에 이상없고 노트북 자체에 아주 만족합니다."
7,"삼성전자 2020 갤럭시북 이온 15.6, 아우라 실버, 코어i5 10세대, 256GB, 8GB, WIN10 Home, NT950XCR-G58A",로그아웃,5,등록된 헤드라인이 없습니다,"노트북쓴지 구매한지 7년정도 되었는데 수명이 다한듯하여새로 구매했습니다. 이온과 그램중에 고민 했습니다만발열이나 소음문제 등등보다 윈10이 깔려서오는지가 선택에서많은 부분 차지했습니다.게임을 잘 하지도 않고, 문서작업도 거의 안하지만사양은 중상급을 바랬는데 잘 고른 것 같습니다.컴퓨터 잘 다룰줄 모르는 사람도 바로 쓸 수 있을정도로 편리합니다.장점 : 윈10 깔려옴숫자키패드(가끔 엑셀할때)그래픽카드(가끔 게임할때)빠른 부팅얇은 베젤예쁜색상과 디자인(주관적)가벼운무게단점 :부담스러운가격(노트북만 달랑있는 구성)수령시 뒷판에 뭐가 끼어있는데(세번째 사진 첨부)사용시 불편함은 없고 받았을때 좀 찝찝했습니다.이 주정도 사용했는데 가격으로 인한 고민은 결제와 함께사라졌습니다.뒷판 이물질 끼임은 '사용하다보면 다 그렇지'하는 열린마음이 생겼습니다.이제 단점이 없어졌어요!공부 좀 해보겠다는 큰 야망을 품고 구입했는데아직은 영화보는 용도로 잘 쓰고 있습니다. 생긴게 예쁘고 가벼워서 여기저기 들고다니면서 계속 사용하게돼요:)에어팟이랑 높이 크기 비교해보시라고 사진첨부합니다"
8,"삼성 2019 갤럭시북 이온 15, 아우라 실버, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950XCR-G58A",신*식,5,강의랑 가벼운 게임용으로 샀는데 만족합니다!,"장점무게(들고 다니기 편함)디자인(내가 선호하는 디자인)속도(빠르고 좋음)쿨링시스템외장그래픽지문인식키(부팅속도가 빠름)단점키감이라고 많이 말하는데 나는 만족함(근데 다른 노트북에 비해 떨어지긴함)쉬프트키(나는 반쪽 쉬프트키 많이 안쓰는 줄 알았는데 많이쓰는 걸 이온쓰면서 앎,근데 적응되면 괜찮을 듯)갑자기 급발진하는 소음(갑자기 슈우우우우..)저소음모드 ㅋㅣ면 괜찮으려나..전체적으로 만족하고 단점보다는 장점이 훨씬 더 많음근데 가격이 비싸긴함 저는 잘 샀다고 생각합니다!!하루쓰긴했지만"
9,"삼성 2019 갤럭시북 이온 15, 아우라 실버, 코어i5 10세대, 512GB, 8GB, WIN10 Home, NT950XCR-G58A",윤*진,4,후회되지않는 선택이였습니다.,우선 가격이 가장 마음에 들었습니다.오프라인으로 사면 190만원대에 2주넘게 기다려야하는데 바로왔네요팬소리 키보드 등등 단점이 있다고는 하는데 저는 딱히 느껴지지 않았습니다.키보드도 몇일 지나니 적응이 되었습니다.다만 램을 추가하는 과정에서 램 틀에 있는 나사하나가 없더라구요. 이점은 확인해 주셨으면 좋겠습니다.램도 추가하고 용량도 넉넉하고 삼성노트북은 자잘한 편의기능이 많아서 참 좋네요!
