,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지",이*원,5,아이폰에서 갤럭시로 넘어간 진정한 [플래그쉽 Z폴드4],"이전 아이폰5s → 아이폰X으로 4년 정도 사용하니 핸드폰이 느려짐, 전화 튕김, 앱 리프레시 등 문제로 인해 갤럭시로 옮겼습니다.사실 아이폰 프로맥스로 옮기려고 했는데 자잘하게 불편한 점 + 다이내믹아일랜드로 정떨어져서 아이폰을 안쓰기로 마음먹고 결국 갤럭시로 옮겼습니다.(아이폰 특성상 앞으로 몇 년 동안 다이내믹 아일랜드 디자인 고수할 거 같아서.. 개인적으로 다이내믹아일랜드 불호)저는 핸드폰으로 SNS, 유튜브 그리고 문서 보는 용도로만 사용해서(게임 일절 안 함) 큰 화면이 필요했습니다.원래 S22울트라 자급제 구매하려고 했으나 S22 시리즈는 망작이라는 평이 대부분이고 삼성프라자에서 경험해보니 안드로이드 잔렉이라고 감안해도 좀 너무하더라구요. 그래서 최신폰인 Z폴드4를 구매했습니다.● 가격 : 1,461,970 + 쿠팡안심케어 1년 : 50,900 (+사은품 : 삼성멤버스 10만원 쿠폰)자급제로 가격이 역대급으로 떨어졌는데, 사실 삼케플 1, 2년 가격으로 따져보면 거기서 거기인듯.. 이지만 지금 가격이 매우 저렴하게 풀려서 월급 탈탈~!● 후기0. 제품 받을 때부터 동영상 찍어서 확인하고 초기 불량 테스트해봤는데 이상 없고 양품으로 잘 도착했습니다.1. 20대 후반인 제가 봐도 Z폴드4 디자인도 이쁘고 실물 색상이 미쳤습니다. 삼성프라자에서 보는 것보다 집에서 택배 받고 확인해 보니 진짜 감탄만 나오는...2. '내가 알던 예전의 갤럭시가 아니다.'라는 경험을 했습니다. 정말 빠릿빠릿하고 멀티태스킹 렉도 전혀 없고(새폰이니까 당연히..ㅎㅎ) 한마디로 똑똑한 친구라는걸 느꼈습니다.3. 페이스아이디로 질릴 때로 질리고 불편한 걸 겪었는데 폴드4 지문인식 진짜 빨라서 좋습니다.. 지금 소니 헤드셋 마크4 사용 중인데 LDAC지원 가능하고 삼성페이... 이 모든걸 포함해서 여러모로 일상생활을 편리하고 좋게 만들어줍니다.4. '커버화면이 가로가 좁아서 불편하다. 폴드화면도 영상 재생 시 레터박스가 많아서 아쉽다.' 등등 실제로 사용해보니 저는 불만을 느끼지 않았고 안팎으로 화면을 이용할 수 있으면서 영상을 크게 볼 수 있는 경험에서 너무 만족합니다.● 단점폴드4의 공통적인 단점이라고 꼽는건 S펜 내장X, 무게, 가격 일 텐데요.1. 무게 : 제가 느꼈을 때 무게는 엄청 무겁지 않습니다. 왜 그런진 모르겠는데 아이폰14 프로맥스랑 비슷한 느낌..? 무거워서 들고 다닐 때 힘들다는 아닙니다.2. 가격 : 개인 사정에 따라 다르다고 생각이 듭니다.3. S펜 내장X : 유일한 단점입니다. 그래서 쿠폰으로 주는 10만원권으로 S펜 포함 케이스 구매하려고 합니다.삼성인데 이전까진 기본, 즉 내실을 갖추지 못하고 원가절감만 하다 보니 S22 사태가 터진 게 아닐까 합니다. 기본만 잘해줘도 이번 Z4시리즈 성능, 발열, 배터리 다 평이 좋게 나오는 걸로 봐서 일말의 기대감을 다시 만들어낸 것 같습니다.(S23은 과연..?)다른 성능이나 후기들은 유명한 유튜버들 보면 알 수 있어서 후기에 적진 않겠습니다.★ 팩트 : 이 정도 돈을 투자할 수 있는 여유가 있다면 현 시점 안드로이드 폰에서 할 수 있는 최고의 경험을 할 수 있을 거라 자부합니다. 돈 안 아깝고 볼 때마다 웃음이 날 정도로 마음에 들고 멋지고 만족합니다 ㅎㅎ Z폴드4님, 앞으로 잘 부탁드립니다."
1,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 그레이 그린",조하0,5,저의 상황과 비슷한 분은 정말 추천하는 핸드폰입니다!!,"호불호가 갈리겠지만 정말 업무용으로는 좋은 핸드폰!!내돈내산 솔직한 리뷰입니다.개인적인 생각이니 잘 읽어주시면 감사하겠습니다.☞제품 및 구매 정보구매 날짜: 2022.08.22 배송배송: 다음날 바로 도착☞구매 동기일단 저는 갤럭시 S20+ 제품을 사용했습니다.제가 핸드폰에 대해서 자세하게 아는 것도 아니고 일반인 기준에서 말씀드리면처음 사전예약하기 전에 매장을 가서 진열되어 있는 폴드와 플립도 보았고 다양한 핸드폰을 직접만져보고 들어보면서 이것 저것 둘러보았습니다. 정말 이때만 해도 굳이 비싼돈 주고 사야하나? 라는 생각이 들었습니다.하지만 이미 삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB를 사기로 마음을 먹었었고 폴드를 사려고 몇 년 전부터 고민을 했었기 때문에 그냥 질렀습니다.사고나서 후회할 줄 알았는데 절대 후회 안 하게 되었습니다.☞장점스펙을 알아보기는 했었지만 전문가가 아니기 때문에 일반인 수준에서 솔직하게 말씀드릴게요.솔직하게 다른 것은 제가 원래 쓰던 폰(갤럭시 S20+)과 크게 다른 점은 없었습니다.물론 사양이나 스펙이 조금 다르겠지만 정말 불편하게 다른 점은 없었고 제가 가장 큰 장점이라고 말할 수 있는 것은 제가 하는 일이 미팅을 많이 하고 필기도 해야 하고 웹 서핑도 많이 해야 하는 일이라 미팅할 때 다른 것을 들고 다닐 필요가 없이 그냥 미팅할 때 핸드폰을 펴서 S펜으로 필기를 하게 되면 정말 잘됩니다..화면도 크기 때문에 내가 무엇을 찾아보는데 글씨가 작아서 잘 안보이거나 더 크게 보고 싶을 때 정말 좋고 강의를 듣거나 그럴 때에도 PDF를 핸드폰에 띄어 놓고 펜으로 필기할 수 있는 것도 정말 좋습니다.태블릿도 가지고 있지만 무겁게 태블릿 대신 핸드폰을 간편하게 들고 다니는 것이 정말 큰 메리트 인 것 같습니다.☞단점다들 폴드의 단점은 아시겠지만 비싼 가격과 무게입니다.일단 폴드3보다는 확연하게 가벼워졌습니다.저도 처음 쓸 때는 무겁다고 생각했는데 일반 남자 성인 기준으로 계속 쓰다 보니까 사실못 들고 다닐 정도는 아닌 거 같다고 생각이 듭니다.물론 폴드를 들고 있다가 다른 폰을 들게 되면 확실히 가벼운 느낌이긴 한데 저는 익숙해지면 괜찮다고 생각이 들고 필기를 많이 하시거나 태블릿을 들고 다니시는 분들은 확실히 태블릿 대신해서 폴드를 들고 다니는 게 더욱 더 좋은 것 같습니다. 물론 사람마다 다르게 생각하겠지만 저처럼 태블릿을 들고 다니기 귀찮거나 미팅이나 강의를 많이 다니시는 분들은 정말 추천 드립니다.읽어주셔서 감사합니다.도움이 되셨다면 도움 버튼 눌러주시면 감사하겠습니다~~"
2,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 그레이 그린",사막의낙타,5,폴드3사려다가 폴드4 구매한 후기,"이번 추석 때 고향 내려갔다가 형부가 폴드3 쓰고 있는 걸 보고 눈돌아갔습니다. 어찌 디지털프라자에서 본 것보다 더 좋아보이더라고요. 당장 저도 폴드3을 사려고 쿠팡에서 결제까지 했으나 취소하고 최종 폴드4로 갈아타게 되었습니다. 혹시 빈 박스일까봐 개봉할 땐 영상도 찍었었네요. 결과는 제대로 들어있었습니다.아래 음슴체 양해바랍니다.^^■ 폴드4를 구매한 이유- 구매 당시 폴드3과 가격차이 20만원이 안 됨- 일반구매 혜택을 받을 수 있음(삼케플, 케이스 등)- 아무래도 폴드3보다는 최신임■ 장점- 화면이 커서 영상이나 사진볼 때 시원하게 뻥뚫린 느낌. 갤탭 s6가 있음에도 폴드4로 영상을 보게 됨. - 생각보다 배터리가 오래 감.- 만족스러운 그립감. 손에 척척 감기는 맛이 아주 맛깔남.(참고로 손 작은 여자임) - 지문인식 엄청 잘 됨.(직전에 쓰던 노트10은 지문인식률이 넘 안 좋았음)- 멀티창 열기가 간편해짐. 평소 멀티창을 즐겨 쓰는데 이전폰은 분할화면 보기를 눌러야했으나 폴드는 그냥 쓱 밀기만 하면 됨.- 태스크바... 진심 편리함.■ 단점- 무거움.- 두꺼움. 그래서 바지에 넣기 부담스러움.■ 이 외- 생각만큼 가운데 주름이 신경 쓰이지 않음.- 9월 말까지 구매혜택이 있어 고민하시는 분들은 결정을 빨리하시는 게 좋을 듯함.- 첨엔 베이지를 사려했으나 매번 밝은 색 폰만 써와서 이번엔 어두운 계열로 가봄. 그레이그린 고급스러움."
3,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지",별만큼가득,5,예쁘고 그립감 좋았어요.,"가격이 며칠만에 내려갔네요ㅠ카드 할인으로 174만원 정도로 구매했지만서도.일단 자급제라서 약정에서 자유로운 것이 좋네요.지방이라서 5G요금제 아직은 필요없음.쓰던 유심을 끼우고 새로 요금제 가입할 필요없이 비행기모드를 켰다 끄면 인식합니다.폴드폰은 나올 때마다 눈여겨봤어요.갤럭시 탭이랑 폰 둘 다 들고다니기에 번거로웠어요.폰으로는 서류 보기에 갑갑해서 탭도 챙겼거든요.잘 쓰던 탭이 2년도 안지나서 펜 인식 안되더라구요. 보증기간 지났다고 수리비용 너무 크게 요구해서 스트레스 받음. 펜을 자석형태로 부착하는 거 비추~ 자석때문에 펜 인식 고장 잘 난다고 주변에서 그러더라구요.태블릿보다는 화면 작지만 서류 보기가 기존 폰보다는 나아요.잡지도 보곤 하는 저로서는 만족합니다. 태블릿을 서류보는 용도로만 써왔으니까요.접는거니까 두꺼운데 그립감은 좋았어요. 얇은건 부피를 차지하질 않아서 가방에 넣을 땐 좋지만 그립감은 떨어진다는 생각이에요. 엣지디스플레이도 디자인만 이쁘지, 실용성은 많이 떨어지더라구요. 보호필름을 깔끔하게 유지 못하고, 그립감도 나빴거든요.폴드폰이 평평한 디스플레이여서 개인적으로 마음에 들어요.배터리는 액정이 3면이라서인지 새폰인데도 상대적으로 빨리 닳는 것 같아요. 그리고 기분 탓인가. 배터리는 초고속 충전보다는 일반충전이 더 오래 쓰는 느낌적인 느낌임. 객관적 비교를 안해봐서 잘 모르겠습니다.메인화면이 커서 시원한 느낌이 좋아요ㅋ주름은 화면 큰걸 원했던 분들에게는 생각보다 거슬리진 않을거에요.사진의 화질은 요즘 태풍예보로 날씨가 계속 흐려서인지 좋다는 생각은 들지 않았어요.  실내에서 찍었을 때 감흥 없었음.그래도 사진을 널찍하게 보는 느낌은 달라요.색상이 베이지로 표기되어있지만 살짝 핑크빛 돌아요. 연한 로즈골드 혹은 스킨베이지로 생각하시면 될듯. 색상 무지 이뻐서 구매욕구가 강했답니다 ㅋㅋ아이폰이 개인정보보호에 더 좋다지만 파일 변환하는거 보고 불편해서 갤럭시 계속 씁니다. 지금도 아이폰이 파일 변환하고 있는지 모르겠지만. 갤럭시는 usb하나 있으면 폰에서도 보고 컴퓨터로도 다 보니깐요. 원드라이브 같은 웹하드가 편한거 알지만 잘 안써요.  누가 비번 알아내려 시도한거 발견한 이후로 아날로그적이지만 usb 씁니다 ㅠ"
4,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지",다배,5,"⭕️베이지너무이쁨⭕️단점은무게,가격⭕️폰은자급제추천!⭕","✅구매제품 : 삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지✅구매일자 : 2022/08/16✅도착일자 : 2022/08/23----------------------------------------------------------제 남편 아직 S9 쓰고 있었는데요~누가봐도 폴드4 갖고 싶어하는데,비싸다며 안사겠다고 하더라구요 ㅎㅎ그러면서도 하루종일 유튜브에서 폴드만 보길래폴드 안사면 제 플립도 안산다고 했더니결국 같이 바꿨습니다 ㅎㅎㅎ집에 컴퓨터도 없고 평상시에 폰게임도 잘 안하는데,바꾸자마자 셋팅 쫙 다 하더니게임도 해보고 신이 나있네요 ㅎㅎ확실히 폴드는 정말 다 좋은데,가격과 무게 이 두가지만 단점인 것 같아요~만약 가격이 비싸도 문제 없고,가지고 다니는 용이 아니라 무게도 상관없다면,무조건 폴드는 추천드릴만한 제품이 아닌가 싶습니다~솔직히 가격이 너무 비싼데,넓은 화면과 분할화면을 보니폰이자 탭이자 만능기기더라구요~색상도 이번에 베이지가 너무 이쁘게 나와서다른 컬러도 고민했지만,질리지 않을까 걱정도 해봤지만너무 이쁜 베이지로 픽했습니다~저는 개인적으로 플립 핑크골드보다,폴드 베이지가 너무 이쁘게 나온것 같아요~핑골이 베이지 색상으로 똑같이 나왔다면,컬러 고민 없이 바로 구매했을 것 같습니다 ㅎㅎ자급제를 사용하는 분들이 많은데,그 이유야 다양하겠지만,저는 가장 큰건 5G를 안쓰고, 4G를 쓸 수 있다는 점, 그래서 요금제를 저렴하게 쓸 수 있다는 점이고,알뜰요금제 사용도 가능한점이 아닐까 싶습니다~~사전구매한 분들은,유심꽂고 멤버쉽 들어가서혜택 부분은 하나씩 다 클릭해서확인하고 할거하고 다 챙기시길 바랄게요!생각보다 해야할게 많더라구요 ㅎㅎ저희는 이렇게 텅장이 되어버렸지만,마음만은 풍족하네요 ㅎㅎ돈은 또 벌면 되겠지요...... ㅎㅎ----------------------------------------------------------﻿후기글로 도움을 많이 받은 만큼저의 후기 또한 누군가에게 큰 도움되길 바라봅니다❣️"
5,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 그레이 그린",김*서,5,등록된 헤드라인이 없습니다,오래 기다렸는데 드디어 겟했네요.화면이 시원해서 좋고 유튜브 동영상볼때주식할때 넘 좋아요. 여러화면 쓸수있어서 작엄할때 참 좋아요그것 때문에 샀지만요.카메라 성능 만족하고 색감도 좋네요.무게는 가벼워쟜다지만 아직 무겁.밧데리는 생각보다 빨리 소진되네요.가격이 그래도 폴더 3란 별반차이없이 괜찮아져서 다행이에요.외부는 필름 붙혔는데안에 액정 지문이 너무 잘 묻혀져서 고민이네요.대체로 만족합니다
6,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지",유*정,5,만족만족 대만족,전핸드폰을 오래썼더니 배터리가 금방닳아서 바꾸려고 찾다보니 폴드4가 눈에들어오더라고요.상품평 많이봤는데 무겁다고하셔서 고민이됐어요.제가 손목이안좋거든요.양쪽다ㅠㅠ 그런데도불구하고 다른건 눈에들어오는게 없어서 한번 사보자 무거우면 할수없지..했는데 왠걸.무게빼고는 대만족입니다.무게는 진짜 어쩔수없다고 생각해요.크기가 크긴데 이정도무게는 오히려 가벼운편에 속하겠죠. 제가 전자책읽는게 취미이자 삶의낙인데 너무좋아요.보기가.정말 너무잘샀어요.폴드만들어주신 개발자분들 존경해요.판매자님도 감사합니당~~^^
7,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 그레이 그린",박*화,5,아들 선물,초등6년 잘  다녀준  아들에게졸업  입학 선물로  미리 사줬어요역시 묵직하네요아들은 대만족  진짜 좋아하네요중딩3년  쓰라고 사줬으니잘 써주길 ~
8,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 그레이 그린",홍*석,5,등록된 헤드라인이 없습니다,"개인적으로 제가 쓰려고 구매한 것이 아니라 동생에게 선물하기 위해서 구매하게 되었습니다조금 아쉬웠던 것은 몇 일 일찍 구매했으면 9월에 사전예약으로 크게 혜택을 받을 수 있었는데시간이 지나서 10월달로 넘어가니 혜택이 많이 줄어들었다는 점이었네요주변에 폴드를 쓰는 사람을 한 명도 못만나 봐서 그런지 일단 핸드폰이 굉장히 예쁩니다색깔도 그레이 그린이라 그렇게 때 타보이지 않고 사용하는 데에도 무난하다고 생각합니다동생이 오픈하면서 그렇게 좋아하는 모습은 처음 봤던 것으로 생각이 드네요기계가 결코 싸지는 않았지만 잘 사용할 생각을 하니 나름 많이 뿌듯하더군요펼졌을 때는 액정이 확실히 시원시원해서 영상을 보거나 할 떄는 굉장히 유리합니다특별히 동생이 전에 s8을 사용하고 있어서 5년이 지난 핸드폰이라 작고 버벅이는 상황가운데폴드4를 사용해보더나 신세계라고 이야기하더군요지금도 통화하면 한달 가까이 되어 가지만 만족감이 있게 너무 잘 쓰고 있다고 고마워하구요단지 핸드폰이 적은 크기가 아니라 주머니에 넣거나 하면 불룩 나오는 부분이 있습니다무거운 것을 싫어하거나 예민한 분들은 조금 매장에 가보셔서 한번 꼭 들어보시고 경험해 보시길 바랍니다필자도 무거운 핸드폰을 싫어하여 아이폰 미니를 사용하기에, 액정 크기와 무게에 따른 호불호가 있을 수 있지만기능적이나 스펙상에 있어서는 최신폰으로 누구나 좋아할 핸드폰이 아닐까 합니다남성 분들은 블랙이나 그린 그레이 계통을 많이 선호하시고, 여성분은 화이트 계통을 선호하시는 것 같고핸드폰이 비싸다 보니 핸드폰에서 끝나는 것이 아니라 보험도 꼭 생각해보셔야 하는 부분을 고려하셔야 합니다"
9,"삼성전자 갤럭시 Z 폴드4 5G 자급제 SM-F936N, 256GB, 베이지",김*성,5,첫 폴더블폰,17일에 사전예약하고 오늘 저녁에 도착해서 바로 뜯었네요. 실물이쁘고 화면좋고 자세한건 더 사용을해봐야겠지만 처음만지는 느낌부터가 기분이 좋네요. 참고로 쓰던폰에서 유심만 바꿔끼면 바로 사용가능하고 켜져있을때 유심을넣었다면 비행기모드 몇번 껏다키면 유심인식하니까 참고하세요!
