,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 보라 퍼플, 256GB",그만좀던져,5,이쁜게 다했음,"넘 이뻐요.. 진짜 이쁩니다 폰이 ㅠ자꾸 아이폰이랑 플립4가 눈에 밟혀서 1년반 쓴 노트10+를 아무 이유 없이 서브폰으로 두고 갈아탔습니다주변기기가 전부 삼성꺼라서 플립으로 갈아탔어요 ㅋㅋ사실 512gb 고민 중이었는데 256gb제품이 할인하길래 그냥 사버렸어요기존폰도 256gb였는데 딱히 모자라단 느낌이 안들었거든요기존 폰이 무거웠어서 가벼운 폰 쓰고 싶었는데, 다시 찾아보니까 10그램도 차이 안나네요오래 폰 만졌다가 손목 나가본 사람이기에..손목지킴이로 작은폰 써야지 했었는데 플립 이녀석..생각보다 작은 폰이 아니었어요일단 폰이 전작과 다른점을 여러가지 찾아봤는데요배터리, 플렉스캠, 디자인면에서 좀 달라요3이랑 4랑 좀 고민한게 배터리때문인데 배터리가 안그래도 적은데 더적은건 안되겠다 싶었구요?3700mAh로 25W이상의 초고속충전디면 30분에 50%충전이 가능하다는데요저는 고속충전기로 충전중인데 61%인데 47분후에 완충된다고 떠있어요플렉스캠은 75~115도에서 지원한다고 해요살짝 접었더니 화면분할이 되네요 아직 요 매력은 잘 모르겠어요!매력 잘 모르겠다고 30분전에 썼는데 취소할게요..유투브보다가 잠깐 씻느라 화장실에서 반접었는데 자동으로 화면 바뀌는거 미쳐따.. 넘좋네요 ㅋㅋㅋㅋ디자인은 3이랑 4랑 약간! 다르기때문에 거의 비슷하구요3이랑 딱옆에두고 비교하지 않는 이상 잘 모르겠어요색상은 진짜 넘이뻐요ㅠㅜ 연보라색 왜케잘뽑았나요맘같아선 케이스 없이 사용하구싶어요 ㅋㅋㅋ구성품은 제품, 설명서, 충전선, 유심칩핀이에요 너무 심플해요!!제 폰은 9월제조 제품이네요폰 켜자마자 언제개통되었는지 봤는데 0000.00.00으로 떠있어서 좀 신기했구요기본 필름들이 붙어있어요전면 디스플레이는 안붙어있어서 따로 사야할 듯 해요사실 플립은요 미리보고 사진찍기 가능한 퀵샷기능때문에 홀렸었는데요3때는 그닥 눈길이 안갔는데 왜 지금에서야 홀린지 잘 모르겠어요..암튼 써보려고 따닥 전원버튼 눌렀는데 안되더라구요?[설정] - [유용한 기능] - [측면 버튼] 의 두번 누르기 기능 켜주셔야합니다..이걸로 홍보 오지게 해놓고 왜 켜져있는 게 기본설정으로 되어있지 않은지 궁금하긴해요방법 찾아봐도 기능이 이미 설정되어 있는 상태에서 설명해주더라구요암튼 다른 어플이나 삼성페이도 쓸 수 있지만 카메라로 쓸거같구요케이스도 급해서 투명만 쓱 사놨는데 링케이스 좋습니다손가락 껴서 쓰니 떨어뜨릴까 불안해하지 않아도 됩니다속지에 스티커 붙여주니 마구 귀여워요!!제가 실수로 쿠팡안심케어 가입을 안한채 구매해버려서 삼성케어플러스 가입했는데요그닥 잃어버릴 일 없을 듯 해서 파손형 구매했어요이 리뷰 보시는 분들은 꼭 쿠팡안심케어 가입하세요ㅠㅜ안심케어는 제품 구매할때만 가입 가능해요!!!자급제라 제품에 포함되어 있는 핀으로 유심칩만 슬쩍 갈아 껴주면 됩니다그리고 원래 삼성폰을 썼던터라 Samsung Switch 앱으로 데이터 전부 옮겨줬구요뭐그렇게 많은지 2시간은 걸린 듯 하네요또 폰트나 꾸미기들 전폰에서 썼던 것들은요1.갤럭시스토어가서 영수증 확인하구요2.이름으로 검색해서 다운받으시면요그대로 쓸 수 있어요!전원키, 음량조절키는 오른쪽에 있습니다지문인식은 전원키에 대서 하는 방식이구요저는 엄지, 검지 등록해놨어요삼성페이는 기존이랑 같이 등록 해두시면 되구요접은 상태에서 쓰시려면 퀵샷대신 두번클릭시 뜨게 해두셔두 되구요커버화면 두번터치 후에 밑에서 위로 밀어올리면 뜹니다화면은 주변 밝기에 따라 자동으로 조절이 됩니다맘에 안드는 밝기면 스스로 조절도 가능해요불 껐을때 스스륵 어두워지는게 넘 좋네요여러 어플들 로그인 해줬더니 몇시간이나 지났네요사진도 마구 찍어봤는데 만족스럽습니다가운데 접힌부분도 그닥 신경 안쓰여요인간은 적응의 동물이라더니 몇시간이면 적응됩니다갤럭시s2로 시작해서 잠깐 아이폰6 틀은 것 빼고..갤탭6lite, 버즈2, 워치5에 이어서 플립4까지 삼성제품 중독자가 되었군요진짜 이쁘고 좋아서 너어어무 만족스럽습니다"
1,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 블루, 256GB",전문언빡싱,5,블루 미처버린 깔끔한 디자인!! 너무 만족해요,"안녕하세요! 언제나 상세하고 전문적인 리뷰를 진행하는 ""전문언빡싱""입니다.이번에 리뷰할 제품은 ""삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 블루, 256GB""입니다.먼저 구매동기를 설명드리곘습니다.저희 아버지가 원래 갤럭시 노트8을 사용하고 있었습니다.이제 너무 오래되어 배터리도 광탈당하고 번인도 심하게 생겨 이젠 교체할떄가 된거같다고말씀하셨습니다. 그래서 알아보다 폴드는 화면은 크지만 무거워서 별로라고 하시더라고요.그래서 플립 블루색상으로 구입하게 되었습니다.제품 상세리뷰일단 디자인이 너무 예쁘네요...! 블루로 구입했는데 정말 잘 고른 거 같습니다. 저 같은 경우에는 쿠팡 케어 플러스 2년까지 두둑하게 가입했습니다. 한도 백만 원까지 횟수 제한 없이 5만 원만 내면 수리할 수 있다는 게 너무 큰 장점이더라고요! 1. 배터리 전작인 플립 3은 배터리가 적다고 욕을 많이 먹더라고요. 신작인 플립 4는 배터리 용량을 개선해서 사용시간을 크게 개선했더라고요! 2. 삼성 페이 접은 화면에서도 스와이프 제스처로 올려서 지문만 터치한다면 접은 상태에서도 간편하게 결제를 할 수 있어서 너무나도 편했습니다. 3. 카메라 요즘 카메라는 상향평준화가 되어 다 좋다고 하죠! 플립 4의 카메라도 야간도 좋고 주간도 좋고 화질도 만족스러웠습니다. 4. 플립 기능 전작보다 주름이 개선되어서 사용하는데 큰 불편함은 없었습니다. 5. 방수 기능 플립 3부터 방수가 가능해서 욕실에서도 편하게 사용할 수 있습니다. 종합 사용경험 접어서 보관할 때 너무 편하더라고요 ㅎㅎ 주름도 딱히 불편하지 않았습니다. 삼성 페이도 간편하게 사용 가능해서 좋았습니다.두번째 사진은 내셔널 지오그래픽 케이스 씌운 사진입니다.이상 전문언빡싱의 상세리뷰였습니다.도움이 돼셨다면 도움이돼요 한번씩 부탁드려요!"
2,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 핑크 골드, 256GB",강*희,5,아이폰만 사용하다가 갤럭시로 변경했어요 ^^,지금까지 아이폰만 고집하다가 처음으로 갤럭시를 사용해봤어요 ^^항상 아이폰만 사용하다가 갤럭시로 갈아타려니애플 배신하는 기분이라 백번천번 고민했어요 ㅠㅠ고민하는 분들에게 도움이 됐으면 하는 마음으로 후기 글 써볼께요 ^^아이폰이라는 이유로 아이폰만 고집햇어요근데 갤럭시 제트플립4로 변경한 이유는디자인이 이쁜 폰 갖고 싶고삼성 페이가 쓰고 싶었고남편과 커플폰 하고 싶었고삼각대 없이 플립 접어서 사진 찍고그리고 최근에 제일 불편했던통화 종료 누르다가 통화가 잘못 눌러서 상대방에게 전화가 걸리는 경우가 종종 있어요 ㅠㅠ아이폰은 뒤로 가기 버튼이 없어서제스처를 통해서 뒤로 가기를 했어요갤럭시도 가능해요설정 → 디스플레이 → 내비게이션 바 → 스와이프 제스처 활성화하면 아이폰처럼 사용 가능해요아이폰은 통화목록에서 연락처만 누르기만 하면 동으로 통화가 연결되는 방식인데자갤럭시는 한번 더 확인하고 통화가 연결되는 방식이라편리하고 만족하는 기능이에요 ^^그리고 통화 중 녹음이 되는 기능 엄청 좋아요 !!아이폰은 제한이 많은데 갤럭시는 큰 제한이 없고같은 어플인데 아이폰에서 안 되는 기능이갤럭시에는 가능한 기능이 있고 내 마음대로 꾸미고편리함이 있어요 ^^갤럭시 강추 !!
3,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 핑크 골드, 256GB",hooon,5,등록된 헤드라인이 없습니다,"컬러는 그라파이트, 핑크골드, 블루, 보라퍼플 으로 총 4가지였고 오프라인 매장에서 실물 보고 온 후에 구매하였어요 사진빨이 되게 못받는다고 생각한게 영상이나 사진에선 걍 접히는폰이구나~ 했는데실물보고 홀딱 반해버렸어용 .. 출고가 135정도였는데 109에 구매했구요 통신사껴서 구매하는것보다 자급제+알뜰폰조합이 총계로 봤을때 훨씬 저렴해서 자급제만 계속 구매하게 되네요 ㅎㅎ  블루와 핑크골드 2개 주문해서 남편이랑 커플폰했구요 :)남편은 s10 5g모델에서 지플립4로 온건데 눈에띄게 달라진 속도와 오래가는 배터리로 매우 만족했어요 저는 s21에서 지플립4로 온거구요 폭이 동일했고 길이는 지플립이 더 길었습니다 힌지와 테두리가 유광으로 되어있어 플립3보다 더욱 고급스러워 보였고 힌지가 묵직한 듯 부드러워서 느낌이 너무 좋았어요 10월~11월 구매혜택받아서 10만원 쿠폰에 유튜브프리미엄,윌라오디오북 등 혜택 알차게 사용하고있구요제 기준 카메라 화질은 너무 좋다고 느꼇습니다 :) !!++++추가 21일 주문 22일 저녁도착해서 개봉후 사용23일 저녁 화면이 완전 나가버림.. 24일 삼성서비스센터 아침부터가서 무상으로 메인보드+ 액정 교체받고왔어요 .. 메인보드 불량이였습니다 같이 산 남편폰은 멀쩡했는데 제폰만 불량폰이였네요 ㅠㅠ수리하고는 아주 잘 사용하고있어요"
4,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 보라 퍼플, 256GB",테이스티쿱,5,할인득템으로 이제 플립4로 바꿔줄수 있네요.,저는 아이폰 14프로를 기다리고 있는데 대장님은 역시나 갤럭시가 좋다고 하네요.Z플립은 2를 쓰고 있다가 플립4가 되어서야 완성도가 높아졌다고 하더라구요. 우선 갖고싶다고 해서 고민하던 찰나에 완전 만족스러운 금액으로 할인하고 있어서 바로 질렀습니다. 고민은 배송만 늦출뿐이라던가...지금 아직 전달전이고 아마 보면 깜짝 놀랄거 같긴하네요. 포장은 뭐 간소화되어서 그런지 이전 세대랑 같구요.별도의 과한 포장이 아니라서 저는 환경적인 면에서는 좋을거 같긴한데 아무래도 배송중에 상처가 생길수 있는 단점은 있네요. 사실상 모양은 큰 변화가 없어서 이게 새롭게 구매해도 차이점이 거의 없는거 같아요. 접히는 부분이 엄청 좋아졌다고 하니까 믿고 구매합니다. 개인적으로 갤럭시는 자급제보다는 통신사 혜택을 이용하는게 좋다고 하는데그래도 이것저것 요금제 따져보면 그냥 자급제로 저렴하게 구매해서 알뜰폰 요금제 이용하는게 낫더라구요. 물론 통신사를 이용할수는 있지만 요금제나 약정의 제약이 없는점이 강한 장점인거 같아요. 출고가는 거의 130정도인데 100초반대에 구매하면 괜찮은거 같구요.그 이상 구매는 비추입니다. 이게 근데 출시한지 몇달 안됐는데 이 가격인거면 재고가 많긴 한가봐요. 아이폰14프로도 이렇게 할인해주려나...사전예약이 젤 저렴한거 아닌가 싶었는데 그것도 아닌거 같네요. 개인적으로 저렴한 금액에 구매해서 만족합니다.
5,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 보라 퍼플, 256GB",습관성구매,5,보호필름 붙여서 옵니다~ 완전 예뻐요,"갤럭시 Z 플립4 5G 보라 퍼플 256기가.. 영롱하다(*˘◡˘*)9월 7일 주문해서 8일에 받았습니다.혹시 하자 있으면 교환 편할 것 같아서 쿠팡에서 샀어요■ 구매가격 및 쿠팡안심케어카드즉시할인 10% 등 적용해서 108만원 정도에 구매했고요(아이폰14 나왔으니 또 가격 한번 내려가지 않을까 조심스레 추측..)주문할 때 쿠팡안심케어 스탠다드 선택해서 같이 결제했어요참고로 보험은 주문할 때 같이 신청해야 해요노트북 살 때 받고나서 따로 신청할랬더니 안된다더라구요이번달까지 주문하면 삼성케어 1년 무상 들어가고, 쿠팡안심케어는 이 삼성케어가 끝나는 시점에서 다시 1년간 파손보험 적용되는 상품이에요롯데손보 이고, 폰 수령과 동시에 가입 알림톡이 오네요카톡에서 시리얼번호 입력하고 보험약관/가입증서 다운받으면 됩니다100만원 한도 내에서 횟수 제한없이 5만원 본인 부담금만 내고 수리할 수 있어요 고객 과실로 인한 파손 수리/교환 시에만 적용되구요저는 폰 한 번 사면 4년 정도는 쓰기 때문에 가입했습니다.저처럼 손아귀 힘이 없어서 폰 잘 떨어트리는 분이라면가입 고려해보셔도 좋을 듯.. 갤럭시 노트는 벽에 내던져도 괜찮았는데플립은 생긴것도 여리여리해서 가입할 수밖에 없었어요...■ 디자인이 다 했다!스마트폰 처음 나오던 시절엔 아이폰만 쓰다가갤럭시 노트 한번 사고나니 저한테 더 맞아서 쭉 노트시리즈 썼어요그러다가 작년에 접히는 플립을 보고 한 눈에 반해서.. 결국 겟☆ 했습니다.실제로 받아보니 더 예뻐요..원래도 보라색 좋아하지만 파스텔톤 퍼플이라 더 고급지구요삼성멤버스에 신청하면 받을 수 있는 투명케이스 끼워서 원래 디자인/색감 살리며 들고 다니는게 현재로선 젤 예쁘네요접히는 부분 화면 자국 진심 안 거슬립니다. 30분 정도 썼더니 완벽 적응됐고 검은색 화면일때나 보이지 평소엔 안 보여요그리고 베젤이 얇아서 화면이 크고 길쭉하게 보여서 좋습니다!■ 보호필름 부착돼서 옵니다전면 화면이랑 볼륨버튼 있는 사이드 부분 다요~첨에 힌지 부분 모서리에 찍힘이 있어서 부들부들했는데(사진) 보호필름이었습니다..!☆외부 보라색 부분이랑 커버화면, 힌지 부분은 보호필름 없어요■ 커버화면 정말 예쁘고 편리해요접혔을 때 바깥에 보이는 커버화면 정말 유용하고 예뻐요접혔다 펼쳤다 귀찮을거라고 생각하실 수도 있는데 펼칠 필요 없이여기서 전화받기(스피커켜짐), 사진찍기, 삼성페이, 손전등,알림 확인, mp3 등등 왠만한건 다 할 수 있어요사용자 마음대로 15가지 이미지 넣을 수 있는데화면 톡톡 두드릴 때 마다 바뀌는 사진 보는 재미도 쏠쏠하네요■ 배터리 성능플립3는 배터리가 빨리 닳는다는 원성이 자자했는데플립4는 3,300mAh→3,700mAh로 배터리 용량을 늘렸대요플립3를 안 써봐서 비교가 힘들지만 저는 사용하는 데 불편함이 없어요하루 이상 충전하지 못하고 계속 써야 할 경우엔 보조배터리 챙겨야 할 것 같구요충전 속도는 빠른 편 같아요저는 고속충전 아닌, 일반 케이블로 10% 충전하는데 13~15분 걸리네요 ■ 그 외 체크포인트1. SD카드 슬롯 없습니다.. 용량 추가 안됩니다2. 이어폰 꽂는 곳 없어요.. 블루투스 이어폰 쓰거나 젠더 사셔서 충전단자에 꽂아야 해요3. CtoC 케이블만 들어있습니다..이거 쓰시려면 c to c 케이블 꽂는 충전기 따로 사셔야 해요4. 자급제 폰이라 기존에 쓰던 LTE유심만 갈아끼우니 바로 쓸 수 있어요휴대폰 볼 때마다 흐뭇합니다..완전 만족해요!이 자체로 악세서리 같고 넘 예뻐요좀 더 써보고 단점 발견하면 후기 수정하러 올게요~-------------추천 많이 눌러주셔서 두 달 후기 남기러 왔어요단점이 뭐죠? 그런거 없어요ㅋㅋㅋ 매우 만족 잘 쓰고 있읍니당링케이스 사서 손가락 끼우고 쓰니 떨어트릴 일도 잘 없고사실 몇 번 떨주긴 했지만 기스 하나 없이 잘 쓰고 있어요접으면 주머니에 쏙 들어가서 휴대하기 좋고 펼치면 큼직하고반만 접어서 세워놓고 쓸 때도 편하고..접었다 폈다 할때마다 넘 예뻐서 아직도 가끔  짜릿합니다ㅋ예전에 폴더폰 쓸 때 소리나게 폰을 탁! 접던 그 손맛을 다시 느낍니당ㅋㅋ지하 어딘가에 갇혀서 폴더블 개발해내신 외계인님 그저 감사할 따름지구 정복 하소서"
6,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 보라 퍼플, 256GB",유*선,5,등록된 헤드라인이 없습니다,✔️구매일자 :8월 16일 주문✔️도착일자 :8월 23일 도착✔️특이사항 :일주일 사용 소감 / 갤럭시s8 ➡️ 갤럭시z플립4 [기기변경]✅수령쿠팡은 역시 배송이 빠르네요 출시 하루전날 따끈따끈 하게 받을 수 있어서 좋았어요 다른 오픈마켓은 조금 기간이 걸린다는데 확실히 배송은 쿠팡이 짱! 갤럭시 S8 64GB 유저였고 버벅 거림으로 바꾸게 되었습니다 포장 박스를 여는 순간 탄성이보라퍼플 컬러가 너무 이뻐요~! 카드할인13% 받아서 117만원대에 구매했네요 ✅디자인 아이폰 사용하는 친구들도 제트플립 디자인 너무 이쁘다고 갈아타고 싶다고 하고 디자인이 너~어무 이쁩니다케이스를 낄때 빛을 발하는 것 같아요 ✅색상매장가서 보고 보라퍼플이 쨍하니 경쾌해서 마음에 들었어요 기본컬러가 아니라 질리면 어떡하지 싶은데 보면 볼수록 보라퍼플로 하길 잘했다 생각들어요 발랄+영롱+고급짐 여튼 그래요  ✅성능갤럭시S8에서 넘어간거라 성능은 비교가 안되네요 어플도 잘 실행되고 화면도 빨리 켜지고 역시 폰은 최신폰으로 바꾸는게좋구나 생각이 들었습니다 삼성에서 주는 유튜브 프리미엄 4개월 쿠폰도 받아서 광고 없이 당분간은 유튜브를 즐길 수 있고요 ✅편한기능 커버디스플레이 기능이 좋더라고요 특히 전화가 올때 커버를 열지않아도 바로 전화를 받을 수 있어서 간편해요! 셀카 찍을때 커버디스플레이 제 모습이 비치니까 뭔가 표정도 좀더 자연스럽고 어떤 포즈를 취해야지 하고 사진도 더 자연스럽게 이쁘게 잘 나오는 것 같아요 셀카 찍을때 커버디스플레이에 화면나오게 설정해보세요 개꿀입니다 캬캬 ✅삼성페이삶의 질 향상 기능 이에요마트나 편의점 갈때 커버 디스플레이 화면 키고지문 인식만 하면 바로 결제 되니까 정말 쾌적하게 결제를 할 수 있어서 너무 좋아요!!✅마무리 제트플립4 배송도 빠르고 카드할인도 들어가서 너무 좋네요  이쁜 디자인 내구성도 짱짱하고요스마트폰은 최신제품이 답인가 싶네요 아직 까지는 단점이 없었고요  완전 만족합니다 ㅎㅎ
7,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 핑크 골드, 256GB",초록키위,5,당일배송 좋아요~! 추천합니다~,"휴대폰을 2년 정도 보다 좀 더 오래 쓰다가 신랑이 선물로  바꿔준 갤럭시 z 플립4 입니다동네 근처 휴대폰가게에서 요금제랑 컬러 좀 보고 생각해 본 결과, 약정 할인보다는 자급제 폰이 더 나은 것 같아 ● 쿠팡에서 구입 후 당일 배송으로 받았어요그 다음날, 유심칩 이동 후 사용하기 시작했답니다~● 쿠팡에서 휴대폰 구입은 처음인데 배송도 당일 배송이고 가격도 괜찮고 편리하네요● 플립형이라 어색하지 않을까? 했었는데 불편한 것 없이  넘 좋네요~~● 선택한 컬러는 제일 인기가 많다는 핑크골드이고 제가 보기엔 핑크베이지 느낌도 있는것같아요● z 플립 4의 새로운 기능들은 유튜브영상을 참고하여 사용하는 것도 좋을것같네요● 무게도 부담스럽게 무겁지도 아주 가볍지도 않은 딱 적당하고 무엇보다  점퍼 코트 주머니 쏘~옥 들어가니 굿굿~♡저는 쿠팡에서 물건을 주문할 때 꼭 후기를 본 후 구입하는 한 사람으로서 삼성 z 플립 4 솔직 후기였어요~♡"
8,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 블루, 256GB",최*영,5,아이폰 ➡️ 갤럭시 이동,➡️ 아이폰에서 갤럭시 이동구매시기2022.09.02 상품 받은 시기2022.09.04 새벽➡️ 중간에 누락이 되었는지 배송이 지연되어서 로켓배송이지만 하루 늦게 받았어요 ♧ 기본적인 필름이 액정에 붙여져있기때문에 저도 미리 필름을 구매 하였지만 기본으로 았는 필름을 사용 후 구해한거 붙일 예정입니다* 조금이나마 참고가 되셨으면 좋겠습니다!!*저는 아이폰을 사용하다가 이번에 갤럭시로 넘어오게 되었습니다처음에 아이폰에서 갤럭시로 데이터를 옮길 때 어려울 거 같아서 걱정이 많이 되었는데 막상 제가 구매해서 해보니 정말 쉬웠고 간편했습니다➡️ 요즘은 양 방향이 C타입으로 나오고 휴대폰구매시 박스에 들어있어서 이거는 따로 구매를 안하셔도 됩니다 ♧ 다이소에서 C타입 8핀젠더만 구매하시면 됩니다♧ 앱은 갤럭시 폰에서 smart  swicth 라는 앱입니다두개의 핸드폰에 서로 연결을 하고 신뢰를 하게 되면 데이터 전송부터 일부의 앱까지 모두 설치가 되게됩니다♧ 선을 연결 하지 않고도 갤럭시 폰에서 기존 애플아이디를 로그인해서도 데이터를 받을 수 있으니 선택하시면 될 거 같습니다 ♧아이폰에서 갤럭시로 이동하면서 많이 불편하고 적응 하는데 어려울 거라고 생각했지만 아이폰보도 화면도 넓고 휴대성도 편리하고 지문인식이 잘 되는점도 좋았습니다♧정말 무엇보다 삼성페이!! 최고입니다...!! 저도 디자인과 삼성페이로 갤럭시로 넘어오게 되었는데 정말 좋은 것 같습니다 ♧저처럼 이러한걸로 고민중이신 분들은 구매 하셔도 후회는 안하실 것 같습니다무엇보가 아이폰 64기가를 썼지만 더 높은 용량에 더 저렴한 가격이기 때문에 이제 저장공관 걱정없이 사용할 수 있을 것 같습니다!!
9,"삼성전자 갤럭시 Z 플립4 5G 자급제 SM-F721N, 블루, 256GB",hooon,5,등록된 헤드라인이 없습니다,"컬러는 그라파이트, 핑크골드, 블루, 보라퍼플 으로 총 4가지였고 오프라인 매장에서 실물 보고 온 후에 구매하였어요 사진빨이 되게 못받는다고 생각한게 영상이나 사진에선 걍 접히는폰이구나~ 했는데실물보고 홀딱 반해버렸어용 .. 출고가 135정도였는데 109에 구매했구요 통신사껴서 구매하는것보다 자급제+알뜰폰조합이 총계로 봤을때 훨씬 저렴해서 자급제만 계속 구매하게 되네요 ㅎㅎ  블루와 핑크골드 2개 주문해서 남편이랑 커플폰했구요 :)남편은 s10 5g모델에서 지플립4로 온건데 눈에띄게 달라진 속도와 오래가는 배터리로 매우 만족했어요 저는 s21에서 지플립4로 온거구요 폭이 동일했고 길이는 지플립이 더 길었습니다 힌지와 테두리가 유광으로 되어있어 플립3보다 더욱 고급스러워 보였고 힌지가 묵직한 듯 부드러워서 느낌이 너무 좋았어요 10월~11월 구매혜택받아서 10만원 쿠폰에 유튜브프리미엄,윌라오디오북 등 혜택 알차게 사용하고있구요제 기준 카메라 화질은 너무 좋다고 느꼇습니다 :) !!"
