,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 라벤더",서*필,5,디자인도 컬러도 맘에 쏙 드네요~^^~,",      입동이 한참 지났는데도 날이 참 포근하네요!         지난번 내린 비☔️ 때문에 길가에 가로수는                앙상한 가지만 남겨졌더라구요~         얼마 지나지않아 그 마른 가지위에 하얗고                    이쁜 눈꽃이 피어지겠죠 ~^^~        오늘은 얼마전 구매해서 잘 사용하고있는              ""  갤럭시 버즈2 블루투스 이어폰  ""              사용후기를 몇자 적어보려 합니다!           모델명은  SM - R177N 으로 표기되며           판매가는 인하해 9만원이 채 안됐어요~        구매시 5년 무상보증 안심케어도 가입했죠.         아들에게는 갤럭시 버즈 프로를 사줬는데        대화 감지 기능과 컬러등을 제외한 대부분의           기능은 크게 차이가 나지않는것 같던데           판매가는 2배정도 차이가 나더라구요~        갤럭시s 22 휴대폰을 사용하고있어 별다른       조작없이 쉽게 연결해서 사용할수 있었습니다.       삼성이 아닌 타사의 휴대폰을 사용하신다면         갤럭시 웨어러블을 설치하고 사용하세요~               제품 터치 횟수와 시간에 따라 여러가지의         작동법이 가능한데 초기에는 한번 터치와               길게 터치하기로 설정되어 있으니          필요에따라 알맞게 설정해서 사용하세요!        구매를 원하시는 분들은 쿠팡에서 판매하는              제품으로 구매해야 배송도 빠르고          안심케어도 가입할수 있다는점 참고하세요!          당분간은 날이 포근하고 맑다고 하네요~                       따사로운 햇살과 여유로움이 가득한              즐거운 주말 보내시길 바랄게요 ~^^~,"
1,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 화이트",바닐라77,5,등록된 헤드라인이 없습니다,■써보고  좋아서  친한동생도 사줬더니 좋다구해요. 사진은 제가사용하는 동일상품 올리브색상입니다.(선물은 화이트로보냄)■로켓 새벽배송으로 잘 도착함.  ■블루투스 연결도 쉽고. 연결하면 이어폰 밧데리 남은거.케이스에 충전할수있는 베터리 용량이 표기돼서 충전시기 관리하기 좋아요.           ■내 이어버드 찾기 기능은 .집안에 두고 시험삼아 찾기해봤더니 버스 정류장으로 표시가 나오네요. 오류범위가 심해요. 그리고  소리도 아주 미약하게 들려서  실제 잃어버렸을때 찾는건 거의 불가능할거 같아 보여요 ■아쉬운점. 통화중에 이어폰사용자 입장에선 잘 들리지만. 상대방은 목소리가 울려서 부정확하게 들릴때가 있다고 합니다. ■재구매의사.    보통.  만족하지만 다음엔 프로 써보고 싶어요.-------------------------------------------------------------------------------------노래듣고. 동영상볼때   액티브노이즈 캔슬링하고  사용하면   주변소리 안들리고 선명하게 잘 들려서 좋아요.유선이어폰이 편하다며  무선이어폰 안사고 버티는 친한동생.마침 유선이어폰이 망가져서  선물해 줬더니  좋다구 하네요.그동생이나 저나  이런거 잘 사용할줄 몰라서  귓구녕 만지다 전화 끊겨서  서로  다시 전화하기 바쁘면서도  만족하고  사용중이에요.다만 프로가 더 비싸니까. 더 좋을거 같아서 다음엔 프로를  써보고 싶네요.
2,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 그라파이트",하하뭉,4,3개월 아이폰과 쓴 후기,"버즈플러스를 오래 쓰다가 넘어왔습니다!! 아이폰12pro에 갤럭시버즈2를 연결하여 3달 쓴 후기 올립니다^^전 원래 버즈플러스 검정색을 갤럭시s10에 연결하여 2년정도 썼구요, 핸드폰을 아이폰으로 바꾸게 되었고 버즈플러스도 오래 써서 고장은 안났지만 너무 케이스도 그렇고 지저분해져서 새로 바꿔야겠다고 생각했습니다. 아이폰으로 바꿨으니 에어팟을 써볼까 고민 많이 했는데, 가격도 솔직히 버즈랑 너무 차이가 나서 부담스러웠어요. 버즈플러스를 길게 써본 결과 버즈의 품질에도 만족하고 있었구요. 그래서 버즈2를 선택했습니다.흰 색상으로 샀어요, 일단 받아보고 느낀 건 너무 앙증맞다!! 귀욥다. 디자인 합격입니다. 케이스도 안 끼고 3달 가까이 쓰고있는데 케이스 쉽게 더러워지지 않아요. 아직 아주 깨끗합니다. 겉에 흰색 케이스지만 안에 이어폰 자체는 검정색이라 때타지 않고 귀에 꽂았을 때도 티가 덜나서 좋습니다(회사에서 잠깐 몰래 이어폰 낄때 좋음 ㅎ)음질이나 통화품질도 버즈플러스에 비해 향상된 것 같습니다.노이즈 차단도 더 잘되고요!! 바깥 소리 잘 들리게 하는 기능은 잘 쓰고 있진않습니다. 밖에 소음이 엄청 증폭되더라구요, 길을 걸을 땐 이렇게 하는게 안전할 것 같지만 저는 거슬려서 안 쓰고 있어요...ㅎㅎㅎ단점은....첨 샀을 때부터 음악재생하다가 아무이유 없이 가끔 재생이 멈출 때가 있습니다....!!!!! 저와 같은 증상 잇는 분 있을까요?? 불량을 뽑은 건지 아니면 제가 아이폰이어서 호환성이 조금 떨어지는 건지 답답은 합니다. 자주 있는 일을 아니지만 아주 가끔 뜬끔없이 재생이 멈추니 살짝 불편합니다.제가 쿠팡에서 이거 살때 케어플러스를 같이 가입해서 다음에 AS센터 가보려고 하는데요, AS센터 가서 해결이 잘 되면 이 리뷰글 수정할게요 ^^ 그리고 아이폰에 쓰고 있으니 호환성이 아쉬운게 갤럭시에서 쓰면 버즈 어플이 있어서 버즈 찾기라던지 이퀄라이저 설정이라던지 할 수 있어 좋았는데,,, 아이폰에 쓰니 그런 기능을 쓸 수 없어서 아쉽습니다.... 아이폰이 막아놓은 거겠죠...제일 좋은 건 아이폰에 에어팟 쓰고 갤럭시엔 버즈 쓰는 건데 가격적으로 버즈를 선택한 자의 살짝 불편함이 있습니다 ㅋㅋㅋㅋ 그래도 음질이나,, 음악듣고, 영상 보고 하는 본연의 기능에는 호환문제가 없으니 가격에 따라 결정하시면 될듯 합니다.제 솔직한 리뷰가 도움이 되셨길 바랍니다~~~"
3,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 라벤더",왈왈강아지,5,결론부터 말하자면... 이게 뭐라고 그렇게 망설였을까.,각종 저렴이 무선이어폰을 전전하다 드디어... 나도 버즈를 가지게 되었다...결론부터 말하자면... 이게 뭐라고 그렇게 망설였을까.. 이렇게 좋은걸...이어폰 기술이 거기서 거기지!! 노래 들으면 얼마나 듣는다구 통화하면 얼마나 한다고... 라는 생각으로 저렴한 이어폰만 유목하던중 .. 결국 싼게 비지떡이라고 ... 결국 버즈만큼 돈을 쓰고 나서야 나도 버즈를 사게되었다..막상 가격대를 보면 애플의 콩나물보다도 훨씬 저렴하고... 내가쓰던 저렴이들보다 그렇게 유별나게 비싼것도 아니였는데.. 여기까지 오는게 참 힘들었네..일단 이쁘다... 말이 필요 없다..이뻐... 이어폰만 이뻐도 되는데 케이스도 이쁘다... 그냥 가지고 다니고 싶다.. 조그많게 앙증맞은 것이... 색감 캬... 직인다... 이제 그냥 이어폰이 아니라 내 이어폰이다.두번째 성능하 여기서 잡귀인 나도 싸구려 이어폰과의 차이가 확 느껴졌다.. 와 다르네... 잘은 모르지만 다르네 달라... 소리가 뭔가 더 또렷하고 깊은 느낌이다..사실 기술이나 이런건 잘 모르지만 대충 듣는 막귀가 들어도 저렴이들과 다름이 느껴진다.그리고 노이즈캔슬링 사실 처음 써보는 기능인데 나혼자 우주에 덩그러니 있는 느낌이다...과장한스푼 더하자면 너무 고요해서 무서울 정도 ㅎㅎㅎ 음악에 집중 하기 딱 좋다. 터치인식도 아주 예민하고 좋다. 다른 터치가능한 저렴이도 썻지만 두드리다가 정신병걸릴거 같아 그냥 휴대폰으로 조작했는데 이렇게 편할수가 없다이어캡도 크기별로 있어서 귀사이즈에 맞춰서 사용하면 된다.그리고 보호케이스 종류가 너무 많다.. 그렇게 이어폰에 돈아끼던 내가 종류별로 케이스를 모으고 있다... 역시 소비의 기준은 디자인인가보다...이쁘면 닫힌 지갑도 열린다.성능은  더 말해서 뭐해이래서 삼성인가보다 .역시 사람은 태어나서 좋은걸 써야해...중간에 검정색은 버즈 프로 입니다.
4,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 화이트",손*영,5,현대인이 중요하게 생각하는 가성비 무선이어폰!,딱 처음부터 정리하고 가자면 가성비 아이템!!!블루투스 이어폰이면 가장 대표적으로 이용하는 2가지 제품이 있죠!바로 애플사의 에어팟과 삼성전자의 버즈시리즈!!!물론 다양한 음향회사에서 이어폰 헤드폰등을 생산하지만 스마트폰에서 대중성있게 사용하는 두가지 제품이 가장 대표적이죠!오늘 살펴본 제품은 갤럭시 버즈시리즈의 5번째 시리즈 버즈2입니다일단 음질! 값비싼 헤드폰이나 이어폰에 비교한다면 솔직하게 딱 중간정도만 가는 성능이라 생각합니다 삼성웨어러블 어플과 연동해서 저음강조를 사용하면 훨씬 풍부한 음색으로 감상 가능합니다!디자인 조약돌을 형상하는 반짝이는 작은파츠가 귀엽네요!!착용감! 이건 에어팟 기존 버즈 타사의 블루투스 이어폰들 다 압살한다고 자신있게 말할수있겠네요 정말 착용감은 이제품을 따라올제품이 있을까 생각하게되요!!노이즈캔슬링 성능 ! 이건 대중적으로 출퇴근시간에 개인 차량을 이용하는분들 제외하곤 전철이나 버스를 많이 이용하시는데 여기서 사용해보았는데요!! 확실히 음악을 켠 상태에서 노이즈캔슬링 기능을 켜면 잡음이 모두 소거되서 조용한 음악 감상이 가능해요!!!값이 많이 나가는 제품과 비교했을때는 물론 조금 떨어지겠지만 저는 거슬리는 잡음을 소거해줘서 문제없이 사용할수있었어요!!!통화품질! 이게 가장 중요한 포인트중 하나일텐데요 깔끔해요! 담백해요 통화품질이 하루종일 통화만 하실게 아니라면 아주 깔끔하고 좋습니다!!정말 10만원대에 이 성능 너무 가성이아이템이네요!!!
5,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 화이트",피죠르르르,5,왜 좋다고들 하는지 알겠다,"습관적으로 내돈내산하여써보고 먹어보고 입어보고 좋은 것 위주로 리뷰합니다.오늘은 가성비의 끝판왕으로 요즘 유튜브에서 핫 한삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N 제품을 리뷰하겠습니다.★ 최근에 헬스장에서 나오는 음악이 저의 취향과는 맞지 않은 관계로이어폰을 구매하게 되었는데요 ㅎㅎ여기저기 찾다 보니 가성비 최고의 이어폰으로 갤럭시 버즈2를 많이들 추천 하시더라구요.쿠팡에 리뷰 수만 보시더라도 어마어마함을 알 수 있습니다. ㅎㅎ★ 일단 디자인이 너무 이쁩니다. 케이스도 조약돌처럼 이쁘고,귀에 꽂아도 작은 조약돌처럼 너무 이뻐요 ㅎㅎ (개인적으로 콩나물은...콩나물 같습니다 ㅎㅎ)★ 예전에는 삼성어플에서 버즈2 지원이 하지 않았다고들 하시던데지금은 지원 잘 해주고있구요.★ 제가 하루에 약 2시간정도 사용하는데 매 번 40~50프로 정도 베터리가 남는 것 같습니다.★ 중요한 건 노이즈 캔슬링인데요, 외부 소음은 100프로 까지는 아니고 95프로 이상은 차단하는 것 같아요.뭐 외부소리 거의 안들린다고 보시면 됩니다.★ 케이스를 끼운 상태에서 무선 충전도 잘 되구요, 어떤 케이스를 끼워도 너무 이뻐요 ㅎㅎ★ 착용감은 제가 사용했던 모든 이어폰 중에 가장 좋습니다. 하지만 너무 좋아서 귀에서 뺄 때 좀 힘들때도 있어요 ㅎㅎ이어폰 잘못사면 사이즈 때문에 프랑캔슈타인 같이 보일 때도 있는데 이건 거의 쏙 드가서 앞에선 잘 보이지도 않아요.★ 전문가가 아니라서 음질에 대해 논하기는 좀 그렇지만개인적으로 저음이나 고음이 특별히 강조된 것이 아닌 그냥 무난한 느낌의 음질 같습니다. ★ 터치감도 우수하고 조작도 상당히 간편합니다.★ 통화품질은 상황에 따라 틀리겠지만 생각보다 크게 말해야 상대가 잘 들리는 것 같고, 통화  품질은 문제 없습니다.☆ 단점이라면 추가 이어캡이 없다는 것입니다. 이제 것 없던 적은 없어서 ... 아주 조금 아쉬울 뿐입니다ㅎㅎ-----------------------왜 가성비 최고라고들 하는지 알 것 같은 버즈2!삼성휴대폰 쓰시는 분들은 괜히 듣보 이어폰 사지 마시고버즈 사세요!"
6,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 올리브",장*은,5,꼭 사세요 두 개 사세여,"1.구매배경아이폰에서 갤럭시로 넘어왔지만 2018년에 구매한 에어팟 2세대로 연명하던 지난 날... 아주 연동이 잘 돼서(오히려 아이폰 쓸 때 보다 갤럭시랑 더 연동 잘됨) 만족하고 사용하던 중에 한 쪽 잃어버리고 에어팟 프로로 큰 맘먹고 갈아탔습니다. 그런데 가격대비 크게 만족도를 못느끼겠더군요. 25마넌 주고 샀는데 뭔지 모를 아쉬운 맘에 로켓쿠팡을 기웃 거리다가보 버즈2를 발견했습니다. 처음 보는 이어폰인데 10만원도 안되는 가격에 에어팟프로에서 제공하는 모든 기능을 지원! 그리고 갤럭시라는 것! 폰이랑 워치에 이어 이어폰까지 맞추고 싶은 맘에 에어팟 환불하고 구매하게 되었습니다.2.디자인내가 산 가장 큰 이유중 50%차지(반은 저렴한 가격). 개귀여워요 정말로 조약돌 같습니다. 커널형 이어폰이라 귀에 딱 들어맞구요. 흔한 화이트가 아니라 올리브색으로 구매하길 넘 잘했습니다. 특별해요. 예뻐요. 예쁘면 다 함.3.기능음질 개좋아요. 원래 예민한 귀는 아닌데 확실히 갤럭시 웨어러블에서 연동하니 이것 저것 음질 조절도 하고 주변소리 듣기랑 안듣기를 너무 잘 사용합니다. 이어폰 빼기 귀찮을 때 꾸-욱 터치해서 주변소리듣기로 바꿔주면 옆 사람이랑 대화도 잘 되고 길 걸을 때 폰 보고 걸어도(그러면 안되지만) 주변 상황을 알 수 있어요.한 번 누르면 재생 중인 동영상/음악 멈추고 두 번 누르면 다음 음악 재생, 세 번 누르면 이전 음악 재생되는거 아주 잘 사용하고 있습니다.약간 단점이라면 터치 인식이 너무 잘 돼서 귀 뒤로 머리 넘기다가 음악 멈춘 적이 많다는 것... 하지만 애교로 보고있어요. 넘 귀여우니까. 내 귀를 쉬게 해주는 시간을 갖게 한다고 생각하면 돼요. 그리고 주변소리 듣기 하면 내 머리카락이 단단한 물질에 닿아 사삭거리는(?) 특별한 ASMR을 들을 수 있답니다. 배터리도 출/퇴근 때 들으면 3~4일 정도 가는 듯.4.귀통증귀에 끼우는 타입 3개 있어요. 저는 끼워져있는거 쓰고 있는데 작은 분들 큰 분들 타입별로 쓰면 됩니다. 하나도 안아픔. 그리고 한 번도 페어링 끊기거나 끊어진 적 없음.5.꾸미기아무 껍데기나 사서 매치해도 너무 귀여움. 올리브라서 올리브, 노랑, 투명 껍데기 3개 샀는데 안어울리는게 없쥬...? 행복합니다 나의 조약돌 꾸민 모습을 볼 수 있어서.6.총평이재용 만세 삼성 만만세"
7,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 라벤더",신뢰함,5,등록된 헤드라인이 없습니다,"(구성은 사진에서 보다시피 상자를 열면 버즈랑 작은 상자에 충천기가 들어있어요.그리고 뚜껑 위에 설명서가 붙어있어요.)-디자인-버즈케이스 외면은 유광으로 되어있고요, 내면은 무광으로 되어있어요. 버즈는 유광입니다. 겉 케이스는 평범해보이지만 열면 퍼플로 도배되어있어서 정말 이뻐요.디자인은 아주 만족. 퍼플 강추입니다.-귀 통증-버즈2를 제외한 버즈 시리즈중에서 가장 작게 나온 편이라1-2시간은 전혀 통증없이 꽂고 있을 수 있고 장시간 동안 사용해본 적은 없지만애초에 작게 나와서 귀가 아플 것 같진 않아요.-사운드, 음질 등-제가 전에 엡코 블루투스 이어폰을 썼었는데(가격은 훨씬 쌈)솔직히 그것보단 기본 사운드가 작았어요.근데 오히려 좋은 것 같아요. 소리가 작으면 늘리면 되지만 기본 적으로 소리가 크면 줄이기도 뭐하고귀를 생각하면 소리는 어느정도 작은게 나은 것 같아요.그렇다고 해서 정말 티가나게 작은건 아니에요. (개인차가 있을 수 있음)그리고 음질은 만족합니다. 영상을 볼때 목소리가 선명하고 깔끔하게 잘 들립니다.잡음은 거의 없는데 이것도 잘 꽂아야되요.귀에 넣고 위쪽으로 한 번 돌려주면 귀에 딱 들어왔다는 느낌이 들겁니다.그 상태로 들어야 잡음이 안들려요.그리고 중간에 끊김 현상이 지금까진 없었어요.-총평-아주 만족입니다.귀 통증 없고, 음질이나 사운드 등 가성비 이어폰입니다.성능이 엄청나게 뛰어난 이어폰을 찾고 있는게 아니라면그냥 버즈2 사시면 될 것 같습니다."
8,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 라벤더",네네네네넵,5,등록된 헤드라인이 없습니다,"-구입일: 22.08.12-구입가: 83850-버즈를 처음 사용하는데, 설명서에 사용법이 안 적혀 있어서 찾아봤습니다(아래 내용은 삼성공홈을 참고하였습니다)⭐버즈를 사용하기 앞서 Galaxy Wearable 어플은 필수입니다⭐삼성 갤럭시를 쓰고 계신 분들은 기본 어플로Galaxy Wearable이 설치되어 있고 다른 제조사의 핸드폰을 쓰신다면 다운을 받아야 합니다안드로이드 핸드폰 쓰는 분들은 구글 플레이스토어에서 다운을 받을 수 있고 아이폰 사용하는 분들은 앱스토어에서 다운받을수 있습니다 다운 받은 후 Galaxy Wearable앱에서 로그인(삼성 계정)을 해 주세요. 방법1. 로그인 후 메뉴를 보시면 새 기기 추가 버튼이 보입니다. 새 기기 추가를 누르시면 등록할 수 있는 기기가 조회됩니다. 리스트에서 갤럭시 버즈2 를 찾아 추가해 주세요.방법2. galaxy wearable 앱을 실행 한 후 이어버드가 크래들 안에 든 채로 뚜껑을 열면 내 폰에서 연결 팝업창이 나타납니다. 팝업창 안내를 보면서 등록합니다.방법3. 연결 팝업창이 나타나지 않을 경우, 이어버드를 크래들에서 꺼낸채로 폰에서 블루투스를 켜고 galaxy wearable어플을 실행 후 화면 아래쪽 시작 버튼을 누르면 버즈2를 인식하고 등록이 됩니다 ⭐갤럭시 버즈2 위젯 추가 방법⭐좀 더 편리하게 사용하기 위해 바탕화면에 위젯을 깔아주세요 1. 스마트폰 바탕화면을 길게 눌러 위젯 버튼을 눌러주세요. 2. 검색란에 galaxy buds2 또는 이어버드를 검색해 주세요.3. 이어버드 위젯을 선택 후 바탕화면에 추가해주세요.위젯에서 편리하게 노이즈 캔슬링, 터치 컨트롤을 조절하고 배터리 잔량 조회를 할수 있습니다 ⭐갤럭시 스마트폰에 버즈2  최초로 연결하기 ⭐(※ Android 8.0 이상을 지원하는 SmartThings 앱이 설치된 삼성 모바일 디바이스인 경우)1.  이어버드의 방향을 확인 후 충전 케이스의 좌우 슬롯 홈에 맞게 넣으세요. (이어버드 배터리 상태 표시등이 켜지지 않으면 10분 이상 충전)2. 충전 케이스를 닫으세요.3. 충전 케이스를 열면, 이어버드가 페어링 모드에 자동으로 진입하면서 모바일 디바이스에 팝업 창이 나타납니다.4. 모바일 디바이스의 팝업 창에서 연결을 누른 후 화면 안내에 따라 연결을 완료하세요. 한번 연결한 후에는 충전 케이스에서 이어버드를 꺼낼 때마다 모바일 디바이스와 자동 연결됩니다.⭐다른 기기에 연결한 이어버드 연결이 잘 안될 때 ⭐-갤럭시 버즈2가 다른 기기에 연결된 상태에서 진행할 경우 연결이 안될 수 있습니다. 연결을 끊고 다시 진행해 보세요. - 모바일 기기에서 이어버드가 검색되지 않을 경우 충전 케이스에 이어버드를 넣은 후 케이스 뚜껑을 닫았다 다시 열어주세요. 이어버드가 자동으로 블루투스 페어링 모드로 진입합니다.(페어링모드 진입 후 이어버드와 모바일 디바이스가 3분 안에 연결되지 않으면 블루투스 등록 상태가 해제됩니다.)- 수동으로 페어링모드 진입:에어버드를 넣고 뚜껑을 닫았다 다시 연 후 양쪽 이어버드를 동시에 3초 이상 길게 터치하여 수동으로 블루투스 페어링 모드로 진입하세요.블루투스 페어링 모드에 진입한 경우 이어버드 배터리 상태 표시등이 빨간색, 녹색 순으로 깜박입니다. 이 때 손을 떼고 스마트폰과 연결해 보세요.(사진 참고)⭐⭐사용법⭐⭐•한 번 터치하기 - 음악을 재생/정지- 텍스트 음성 변환 기능 사용 중지•두 번 터치하기 - 다음 곡 재생- 전화 수신 또는 종료- 현재 통화 보류 또는 새전화 수신- 보류된 통화와 새로 수신된 통화 사이 전환 • 세 번 터치하기- 이전 곡을 재생. 음악 파일이 재생된 뒤 3초 후에 이어버드를 세번 터치하면 현재 재생 중인 음악의 처음으로 돌아가므로 이전 음악 파일을 재생하려면 음악이 재생되고 3초 이내에 이어버드를 세 번 터치. •  길게 터치하기- 전화를 거절- 미리 설정한 기능을 실행 (소음 제어 모드 실행이 기본으로 설정되어 있으므로, 실행할 기능을 변경하려면 어플에서 길게 누르기 기능을 통해 변경가능.) ⭐이어버드의 터치 동작은 한 번 터치하기와 길게 터치하기만 기본으로 설정되어 있음. 이어버드의 모든 터치 동작을 사용하려면 Galaxy Wearable 앱을 실행한 후 터치 컨트롤을 눌러 터치 동작 관련 기능을 설정해야 함⭐"
9,"삼성전자 갤럭시 버즈2 블루투스 이어폰, SM-R177N, 화이트",김효선,5,갤럭시 버즈2 두번째 구매입니다,"저번주에 회사 실장님 생일선물로 해드리고 너무맘에들어서저도 같은걸로 구매했어요 ㅋ 선물은 라벤더로 하고 저는 화이트색상구매했는데 화이트도 깔끔하니 이쁘네요.액티브 노이즈 캔슬링 기능을 지원하는 갤럭시 버즈2를 몇일간 사용하고 느낀점을 적어볼게요ㅎㅎ 2세대라 그런지 우선 간편했어요. 이전에 가성비 면에서 좋은 평가를 받는 것으로 알려진 다른 제품을사용하고 있었는데 실제로 사용해 보니 기능면에서 불만족스러운 부분이 많아서 새로 구입하게 되었어요우선 버즈 시리즈2세대 모델로 기본형과 프로모델이 나왔는데 차이점을 간단히 말하자면기본형과 고급형의 차이라고 볼수있어요. 저도 프로는 사용해본적이 없어서 이정도만 말씀드릴게요버즈2는 동그스름한 모양의 케이스에 커널형 이어버드가 들어있으며 이어버드의 착용감은개인마다 차이가 커서 실제로 착용해 본 후에 선택하는 것이 가장 안전한거 같아요실제로 저는 에*팟을 사용한적도 있는데 제 귓구멍이 너무 작아서 잘안맞더라구요입만 움직여도 떨어지고 ㅜㅜ 귀도 아팠어요. 근데 버즈2는 이어팁이 3가지 크기로 구성되어있어서 귀에맞는 크기로 장착할수있어서 귀가 전혀 아프지 않고 딱 맞아서 저랑 찰떡이네요 빠지지도 않구요.이렇게 딱 맞는 착용을 통해서 외부 소리를 완벽하게 차단하는 노이즈캔슬링 기능을제대로 확인할 수 있었습니다.연결방법은 다들 잘 알고있듯이 블루투스를 활영하며 갤럭시버즈2세대는 블루투스 5.2v를 지원하고 있습니다.연결상의 문제는 전혀 없었으며 신속하고 부드럽게 잘 연결되어 안정적으로 지속되었습니다.갤럭시버즈2의 컬러는 올리브,라벤더,그라파이트,화이트,오닉스 이렇게 5가지 색상이 나오는데저는 화이트를 선택했어요. 깔끔하면서 고급스러운 느낌이라 만족하면서 잘 사용하고 있습니다.본체의 케이스는 버즈라이브와 동일하며 케이스가 서로 호환 가능하다고 합니다그리고 기스날까봐 정말 귀여운 케이스도 구매해서 사용하고 있는데 진짜 너무 귀엽네요버즈2 구매하시는 분들 케이스도 귀여운거 많으니까 꼭 하고 다니시라고 말하고 싶어요~정말 안샀으면 후회할뻔했겠다 싶을만큼 너무 큰 만족도를 갖고 잘쓰고 있어요가성비 갑 제품이라고 생각합니다. 완전 강추 제 리뷰가 도움이 되셨다면 좋겠네요. 감사합니다"
