,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
0,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",한*현,5,마음에 듭니다.^^,"버즈 플러스 쓰다가 이번에 폰이나 이어폰 바꿔볼까 했는데 폰은 이번에 안바꾸는게 나을것 같았고,대신 갤럭시버즈2 프로가 평이 너무 좋더라고요.그래서 여러모로 알아보다가 구입을 결심하게 되었습니다.이어폰을 많이 필요로하는 일을 하고 있다보니 구입을 했는데요.통화 품질도 좋고 확실히 음악 들을때는 양쪽이어폰을 끼우면 사운드가 풍부하며 빵빵한 느낌이들어 좋았습니다.^^한쪽만 꼈을때는 그다지 뛰어난 느낌이 안들었는데 그리고 여러 기능도 마음에 들었고요.저는 노캔이 크게 와 닿지 않았는데 사용했을때랑 안했을때 차이는 확연히 틀리더라고요.소리가 차단되니 음악에 더욱 집중되고 좋았고 사고 방지가 되게끔 말하면 주변소리모드로 변경되 되어서 좋습니다.[터치감 반응감이 빠릅니다.터치감도 너무 좋고요.]그리고 사람마다 귀가 틀리겠지만 저는 처음에 이어폰이 잘 안맞는 느낌이 있었는데 착용 몇번해보니 이제는 잘 착용됩니다.이어캡 여분이 있었으면 좋았을텐데 그건 조금 아쉬운데 유튜브 보다보니 어느 유튜버님이 버즈2프로의 이어캡 재질이 의료용 재질이라고 들었는데요.그만큼 위생이나 재질에 신경을 썼음을 느꼈었고 그리고 사운드에도 신경을 많이 썻다고 하더라고요.고음쪽보다는 저음쪽에 빵빵함을 느꼈고요.확실히 플러스 쓰다가 버즈2프로 쓰니 차이를 확실히 느꼈습니다.ㅎ내용 추가 합니다.12일간써보면서 여자친구랑 통화한내용 녹음한거 들어보니 확실히 버즈플러스랑 통화품질 차이가 나고요. 전철에서 플러스 썻을때는 전철소리나 방송나오면 소리가 커서 여자친구가 소리가 잘 안들린다고 말이 많았는데 저도 녹음한거 들어보니 버즈2프로 쓰고 나서부터는 주변에 전철소리나 방송나와도 목소리가 중점적으로 들리더라고요.성능이 많이 좋아져서 좋았습니다.[참고로 전철에서 마스크쓰고 통화하다보니 소리를 조금 작게 내더라도 상대방한테 소리가 잘 들리긴하지만 마스크 때문에 웅웅거려서 발음이 정확히 안들리더라고요.전철같은데서 마스크쓰고 말하실 경우에는 조금 천천히 말 하시면서 발음에 신경써서 말 하시면 듣는입장에서 잘 들리는것 같습니다.^^]저의 후기가 다른분들이 선택하시는데 도움이 됐으면 좋겠네요.ㅎ참고 영상 입니다.ㅎhttps://youtu.be/EcJhtX847qM"
1,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",좋은책장,5,역시 기술력 좋네요.멋진버즈라이브프로2,"1. 소니 해드셋, 버즈라이브, 버즈 라이브 프로 ,프로2까지 모두 사용했어요.ㅎㅎㅎ소니가 노이즈 캔슬링과 소리는 끝내줘요하지만 무척커요. 요건 작고 가벼우면서 소리조절과 off기능  살짝 두번정도 터치로 가능해요.버즈라이브는 괜찮은데 얼마전에 분실되었고, 프로는 밀착력때문에 중이염으로 고생하다 환불 그래서 버즈를 다시 사서 사용하다 분실. 저는 버즈 프로가 별로라 기다렸거든요.이번에 프로2 가 쿠팡에서세일해서 바로구매 역시 기술력...good...가격도 짱2. 밀착력도 너무 향상되었고 버즈 라이브보다 이질감도 적어요. 그리고 산뜻하고 가벼워요. 3. 색상도 산뜻하고 지금 구매시기 적절 수능시험 끝나면 신입생들 많이 사겠네요. 가격다운이 쿠팡이 제일 저렴 중고랑 별차이 안나네요.ㅎㅎㅎ4.고객에 니즈를 정말 많이 반영해서 정말 많이 개선되어서  창찬하고 싶고 구매하기를 잘한것 같아요.5.이어캡 때문에 프로에서 고생을 해서 환불했는데 확실히 개선된것 같아요. 한달정도 사용하면 알겠죠.이어캡 여분은 별도 주문해야해서 따로 사려구요.유명상표 따로 있어 준비해요.♥노이즈 캔슬링너무 좋은기능 , 우수한 밀착력과 , 작은 이어탑 크기 2가지,  색상도 너무 번쩍이지 않아 정말 우아합니다.구매 망설이셨던분 구매 추천. 흰색도 깔끔 그라파이터  고급스러워요. 버즈프로에 고생해서 버즈 쓴사람이라...확실히 신경써서 업 했네요.가격이 더 내려가서 속쓰리지만 제품은 믿고 구매할수 있는 쿠팡이라 추천합니다. 제품 구매에 도움 되셨기를 바래요."
2,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",고*재,5,고민하다 샀는데 맘에 들어요.,우선.. 쿠팡 가격..ㅠㅠ 아놔.. 알고는 있었지만구매후에 더 떨어지니... 좀 속상하네요.당장급한건 아니었는데..기다리다 살걸... 하는 후회가 살짝.ㅋ뭐... 가격은 그렇다 치고제품 자체는 넘 맘에 드네요.사진만 보다가 실물을 보니 정말 작고 귀엽습니다.생각보다 작아서 놀람제 귀가..엄청 작아서..귀구멍도 작고..아×팟 프로도 좋다고 해서 시착해봤는데..제 귀에 안맞음...ㅠㅠ 사실 버즈프로2 도 막 딱 귀..딱 이런건 아니지만제 폰이 삼성폰이라 연동도 좋고 노이즈캔슬링 기능도 많이 좋아졌다 하고..젤 큰건 역시 가격!지금 가격이라면 당장 사야 합니다.색깔도 고민 많이 했는데..케이스 끼우긴 흰색이 좋지만..오래 쓰다봄.. 변색 걱정이되어.. 검정으로 골랐습니다.여자는 검정이죠!!!밖에 산책하면서 실험해본 노이즈 캔슬링 기능..어..왜지? 밖에 버스 소리나 소음이 들리지?기능 안되는거 아냐? 했는데..노이즈캔슬링 기능 끄는 순간 알게 됩니다..밖의 소음이 사실 엄청 컸다는거...그리고 사실 귀에 부담 될까봐 음량도 낮추고 듣고 있었거든요..좀 소리 높이고 들음..엄청 좋을거 같긴해요.평범한 사람들의 막귀로 듣기엔 마냥 좋습니다.귀에 착 안착되는 느낌도 괜찮더라구요.착용했을때 검정콩 같아.. 귀여워요..ㅎㅎ가심비 가성비 모두 만족입니다
3,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",껴르,4,삼성의 노예가 될 상인듯,"갤럭시 22u, 워치 5 프로, 버즈 2 등.. 애플보단 갤럭시만 쓰는 사람입니다지난 주말에 기존에 쓰던 버즈 2를 차가 밟고 지나가서 한쪽이 박살나는 바람에..ㅠㅠ 오른쪽만 들으며 근근히 버티다가 행사하길래 기회를 틈타 구매했는데요 버즈 2는 그라파이트 색상이 유광이고 케이스 외부는 심지어 유광 화이트라 아쉬웠는데 버즈 2 프로는 무려 무광!! ㅠㅠ 유광보단 무광을 선호하는 저로서는 마음에 쏙 들었습니다.. 사실 전문가도 아니고 막귀라 음질 뭐 전문용어 이런 건 잘 모르고 수준 높은 음악을 듣지도 않는 평범한 일반인이라 제 귀에는 엄청 좋습니다 노이즈 캔슬링도 잘 되고 노래 들을 때 몰입도 잘 되구요 다만 아직 귀에 적응이 안 돼서 자리 맞춰 끼우는 게 시간이 조금 걸립니다.. 그 부분 빼고는 마음에 들고 너무 좋아요 :)2022.11.16 작성=====================================2022.11.21지난주 금요일쯤부터 귀에 물기가 계속 만져지더니 오늘 외이도염 진단받았습니다. 삼성 멤버스 커뮤니티 확인하니 일부 같은 증상인 분들 계신 것 같네요확실한 건 아니지만 최근에 귀에 자극될만한 것 중에 바뀐 것이 이것뿐입니다.. ㅎ"
4,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",동우바라기,5,노이즈캔슬링 장난아님 차오는 소리 안들려요,"저는 2020년 2월 14일에 딱 버즈 플러스 하늘색을 구매해서 사용중이었습니다.한.. 몇 달 전부터 배터리가 급 빨리닳길래 아 얘도 슬슬 맛가고있구나 싶었어요버즈2프로가 나오기 전에는 버즈2를 장바구니에 넣어놓고 색상을 한창 고민했는데, 요번에 z플립4랑 z폴더4인가 나오면서 버즈2프로가 나온거에요근데 신상이다보니 금액대가 좀 있어서 눈길도 안주다가 ㅋㅋㅋ유튜브에서 제품 비교영상을 보다보니 눈길이 점점 가더라구요그래서 또 장바구니에 넣어놓고 가격 언제 떨어지나 보다가갑자기 20만원 아래로 떨어지길래 헉 이건 기횐가...? 이렇게 떨어진적은 없었는데 어떡하지 고민하다가 가격 다시 오르면 어떡하지 하다가딱 이 전날 노티드 케이스 하늘색을 발견해서.. 솔직히 케이스만 먼저 사놓을까 하다가 버즈2프로 가격보고 결국 지르고 말았습니다.결과는 대만족이에요버즈플러스는 알맹이 겉에 고무로 한겹 덧대있는데 버즈2프로는 그런게 없어서 너무 편했구요, 그리고 와 노이즈캔슬링이 진짜 미쳤어요오늘도 뼈저리게 느꼈던게 치과 갔다가 집오는길에 귀에 꽂고 가는데뒤를 보니 차가 오고있었더라구요. 소리를 완전히 잡아주니 하나도 안들리고또 집와서 더워서 선풍기를 틀어놓고 노이즈캔슬링 켜져있던거 끄니깐 소리 엄청 크게들리고...진짜 대박이에요이렇게 좋은 성능이라면 지르세요 그게 답입니다.아 그리거 저음을 좀 잘 잡아준다해야하나? 확실히 음질도 차이가 있더라구요너무 만족스러워용색상은 제 폰과 똑같은 무광블랙으로 했어요 ㅎㅎ"
5,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",김*호,5,삼성 버즈2 프로 솔직한 후기입니다,2일 동안 직접 사용및 제품을 받아본   솔직한 느낌입니다  구매결정에 작은 도움이라도 드리고자작성하게 되었으니 읽어 보시고 작은  보탬이라도 되셨으면 합니다.1.구매동기~음악을 좋아하고 강의듣는데 필요성을 느껴서 구매하게 되었고삼성전자 매장에서 알아본 가격보다여기 쿠팡이 가격이 착해서 구매하게되었고 일시불은 부담이 되어서  24개월 할부로 구매하게되었어요카드사마다 다르겠지만 제가 구입하는데 사용한 카드로는 알아보니24개월 할부로 하니 이자가 4만원정도부담을 해야 한다고 하더라구요일시불로 할걸 그랬나 하는 생각이 들었는데도 매장같은데서 구입하는것보다 할부로 구입해도 이자까지 계산해도 여기 쿠팡에서 구매하는 것이제가 이제품 구입 당시 기준으로 (가격변동이 있을 수 있음) 3만원 이상이 가격이 착한 것 같아서 구입하게 되었구요.2.상품을 처음 배송받은  느낌~야간근무를 마치고 이어폰을 빨리보고싶어 설레는 발걸음을 제촉하여귀가하니 문앞에 생각보다 큰 박스가도착해 있어서 박스가 크다는 생각을 하고 열어보니 그박스 안에 삼성버즈2프로 검정케이스가 고급스럽게 있었고 열어보니 반짝거리지도 않고퀼러티가 너무 좋은 이어폰이 있어서기분이 너무 좋았어요귓구멍 사이즈에 맞게 사용하도록귀에 접촉시키는 인이어가 사이즈별로2개가 들어 있구요.충전케이블이 함께있어요 이어폰 엄청터치감이 좋았어요그립감도 좋구요 번들거리거나 무겁지도 않고 좋아요. 3.오디오 ~유튜브 음악을 즐겨듣는데 오디오가공연장에서 직접듣는것 같아서 공연장에 있는걸로 착각할 정도였습니다 깜짝 놀랐어요 그 순간 이어폰 사는데 들인 돈이 아깝지가 않았어요그전까지는 크다면 큰돈인데 큰맘먹고사는거라 생각이 많았거든요 가수의노래소리가 풀로 꽉 차게 잘들리고 고음이나 저음에서도 단단하게 생생하게 호흡까지 잘 들리는거 같고요연주 악기 소리도 세밀하게 잘들려서좋아요.인텔리젼트360오디오로 사운드가 풍부하고 깊어진것 같아요 오디오를 듣는데귀에 부담을 주지않고 부드럽고 좋았어요.-노이즈캔슬 기능완전 미쳤습니다 음악 들을 때 찐으로웅장하고 가수의 노래소리와 음악 반주에만 집중할 수 있고요 신세계입니다음악  실내공연장 느낌이랄까요.4.ANC  (엑티브 노이즈 캔셀렉션)~ 이 기능을 사용하면 음악감상 뿐만아니라 강의를 듣거나 할 때 주변음을 차단하여 몰입도를 향상시킨다고하는데 정말로 그 효과가 좋았어요~대화감지 기능을 사용하면 주변의사람들과 이어폰을 들어면서 소통할 수 있다고 하는데 해보니 유용한기능이예요.5.착용감~ 구매 당시 배송온 그대로 사용하니맞는거 같아요 이틀 동안 사용해보니이어폰을 귀에 꽂고 일부러 뛰어도 보고흔들어 보아도 빠지거나 떨어지지 않고착용감도 너무 편하고 좋았어요.운동하면서 들어도 이어폰 빠질걱정이 없어서 헬스장아나 동네 공원에서 운동하면서 음악 들을 때도 이어폰이 빠질까봐 걱정할 필요가 전혀 없어요.6.밧데리 소모시간~ 한 5시간 정도 되는 느낌이예요짹 없이 이어폰 케이스에도 충전이되는 기능이 있어서 짱 좋아요7.이어폰으로 껐다 켰다-이어폰을 듣다가 잠시 중지힐 필요가있을 때 이어폰을 낀채로 이어폰을 손가락 끝으로 살짝 건드려  주면 멈쳤다가 다시 듣고자 할 때는 댜시 이어폰을 살짝 건드려주면 진행이 되는 펀리한 기능도 있어서 좋아요(요기능은 3일차 이어폰을 사용하면서 이어폰을 건드리던중에 자연스럽게 알게된 기능입니다)사용하면서 장단점을 추가적으로 올려보도록 하겠습니다
6,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",마리모조로,5,고민은 배송만 늦출 뿐!,주로 오픈형의 이어폰을 사용했었습니다. 커널형은 귀에 압박감이 더해지고 두통까지 생기는 탓에 멀리했었는데 이어팁이 작게 제작되었다고해서 삼성프라자에서 착용해보고 이정도면 괜찮겠다 싶어서 결정했습니다.워낙 귓구멍이 작아서 오래 착용하면 아플수도 있겠다 생각했는데.. 판매자 문의글에 추가 이어팁 어디있냐는 질문이 있어서 뒤늦게 알았습니다.케블이 속에 감춰져(?) 있더라고요.몰랐으면 그냥 썼을것 같아요.이어팁 꺼내보니 큰거와 작은게 여분으로 들어있네요.저는 작은 사이즈로 교체해서 사용중입니다. 훨씬 착용감 좋아요.버즈2프로 휴대폰에 연결하니 갤럭시 웨어러블 어플과 갤럭시 버즈2프로 매니저 어플이 자동 설치 팝업이 뜨네요.이것저것 설정후 사용해보니 노이즈 캔슬링과 주변소리 듣기 기능이 아주 우수합니다.이어폰 성능 아주 우수 합니다.특히 운동중에 주변소리 거의 안나니까 운동에 집중할수 있어서 좋습니다. 배터리 다 될때까지 연속해서 써본게 아니라 사용시간 성능은 아직 검증을 못했습니다.아직까지는 사용시간 만족하고요 추후 다른 버전이 나온다면 믿고 구매할수 있을 정도로 만족도 높습니다.
7,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",장*진,5,굿굿,"하루 뒤 ktx 타고 지방 출장 가야하는데 기존에 사용하던 에어팟2(4년 사용)  본체를 길바닥에 흘렸는지 잃어버려서 급히 로켓와우로 배송받았어요 유튜브 중독자(?)라 이동중에 무선 이어폰 없이는 불안해서 살 수 없는 사람인지라 정말 너무 급해서 그냥 리뷰고 뭐고 고민없이 최근 출시된 신상품이니까 좋겠지 하는 맘으로? 걍 주문 ㄱㄱ원래 물건 구매할때 리뷰보고 영상 찾아보고 하면 진짜 오래 걸리는 스탈이라 급한 맘에 정보도 없이 그냥 바로 질렀지만 옳은 선택이었어요 ㅋㅋ아이폰에서 갤럭시 폰으로 갈아탔는데도 이어폰은 에어팟을 쓰다보니 거의 매일 페어링 문제가 있었는데 (유독 한쪽귀만 연결 안됨, 잘 되다가도 자주 페어링 풀림, 본체 뚜껑 열었다 닫거나 설정에서 다시 껐다 키면 페어링 됨) 버즈2 프로는 뚜껑 열자마자 아주 그냥 바로 페어링 되니까 맘이 편하네요 !!!근데 하루사이에 만천원이 가격이 내려가다니.. 맘이 또 쓰려질라그래요ㅋㅋㅋ 후아 근데 이건 걍 어쩔수 없다 생각해야죠 구매하고 나서야 유튜브 영상 찾아보고 리뷰 영상 봤는데 에어팟2를 오래 잘 써서 굳이 무선 이어폰에고 관심을 갖지 않았기도 하고 커널형도 처음 사용하는 지라 외이도염 이슈도 첨 들었네요 귀가 작은편이라 귀에 딱 맞게 들어가는 듯하면서도 좀 부담스럽고 아직 익숙하지 않아서 그런거 같기도 해요여기서 가격이 얼마나 내려갈지 모르겠지만 저는 뭐하나 사면 잃어버리거나 고장나지 않는 이상 뽕뽑는 스탈이라 ㅋㅋㅋㅋ 그냥 만족하면서 사용하려구요 여튼 상태 좋고 로켓와우  짱입니다-------------이틀 사용 후 귀에 꽂는 느낌은 익숙해지면 딱히 불편힌 것도 없고 일단 노캔 기능 넘 좋아요 !!귀에 잘 안착하는 느낌?? 귀 일부러 털어봐도 떨어지거나 하지 않아요다만 기본 번들이어팁이 정말 별로긴 합니다.유튜브 보고 이어팁만 새로 구매했어요 (아즈라 제품)대표적인 종류가 2-3개 있는데 공홈 가시면 네이x 페이 결제 가능하고이어팁 구매 후기 보시면 다들 훨씬 낫다고 합니다! 비주얼도 더 낫더라구여 저도 갑자기 예정에 없던 지출이 생긴 거지만 다른 분들도 큰 돈 들여 구매하시는 만큼 도움 되실 수 있게 추후에도 계속 후기 남길게요"
8,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",레모비타,5,버즈 중에 최고,"버즈2 프로 구매후 약 2주간 사용해봤습니다.한마디로 요약하면 성능은 역대 갤럭시 버즈 중 최고, 가성비는 조금 아쉽다입니다.점수로 표현해보자면..음질 : 5점통화품질 : 4.5점디자인 : 5점착용감 : 4점노이즈캔슬링 : 4.5점배터리 : 4점가격 : 2.5점음질 좋습니다.QCY등 가성비 이어폰과 비교할 정도는 이제 아니라고 생각해요. 버즈 프로 이후로 갤럭시 버즈 음질이 엄청 좋아졌어요.코덱 업데이트도 하면서 전송되는 데이터 자체가 많아져서 훨씬 나은 음악감상이 가능하다고 하는데 그것까진 모르겠네요 ㅎㅎ통화품질 : 야외에서 버즈2프로로 통화해도 상대방이 모를 정도로 통화품질이 엄청 좋아졌습니다. 중요한 점이라고 생각해요. 버즈 프로, 버즈2보다 체감할 수 있을정도로 좋아졌습니다. 버즈2 프로 통품에 특이점이 왔다고 표현하는 분도 있어요.노이즈캔슬링 : 버스, 기차, 지하철 등 대중교통 많이 타시는 분들은 필수입니다. 웅웅거리는 저음은 그냥 없어진다고 보면 되고 갑자기 그냥 다른 공간으로 이동한 기분이에요. 말소리나 고음은 어쩔 수 없이 들어옵니다. 근데 한번 써보시면 이제 노캔없인 노래 못듣겠다 싶으실겁니다.또 차 소음때문에 억지로 소리 높여서 귀 건강 상하는 경우가 많은데 액티브노이즈캔슬링은 실사용볼륨을 낮춰서 청력보호에도 도움이 됩니다.착용감도 괜찮아요. 착용하고 달리기를 해도 떨어진다거나 그런거 없고, 평상시에도 잘쓰고 다닙니다. 이어팁 S,M,L 차이가 크니까 잘 맞는거 사용해보세요. 개인적으론 M과L 중간 사이즈가 있었다면 좋았을듯합니다. (저는 다이소 2천원 폼팁 사서 끼워 쓰는데 생각보다 더 편하네요.)디자인도 동글동글하니 귀엽구요.단 하나 아쉬운점은 역시 가격이에요.버즈 프로, 버즈2에 비해 실구매가가 많이 오른점이 아쉬워요. 지금 시점에서 가성비라고 한다면 버즈 프로나 버즈2가 맞습니다.버즈2 프로도 시간이 지나면 가격이 더 내려갈거고, 성능으로 따지자면 엄청 비싼것도 아니지만 상대적으로 비싸게 느껴지긴해요.비교 대상인 버즈프로는 외이도염 문제만 없다면 음질, 노캔, 가성비 모두 좋죠. 버즈2도 착용성, 준수한 노캔성능등 좋습니다.그래도 돈 좀 들여서라도 최고의 제품을 경험하고 싶다 하시면 갤럭시 버즈2 프로 추천합니다! 저는 어차피 한 번 사면 2년은 쓸거니까 돈 좀 더주고 좋은 제품 사려고 했습니다.결과적으론 엄청 만족해요.버즈프로 2~3주 정도 쓰고 외이도염 걸려서 환불받았는데 버즈2 프로는 아직 그런증상 전혀 없습니다. 혹시나 불안하신 분들은 삼성홈페이지에서 공식으로 여러 이어팁을 판매하니 참고해주세요.ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ22.10.10.통화 품질 및 쓰다보며 느낀 경험 추가했습니다.최저가 기준으로 제가 샀을때보다 2만원 넘게 떨어졌네요 ㅠㅠ 지금 사는 분들은 오히려 좋아.. 10만원 후반대라면 가성비도 엄청 좋아졌어요. 참고로 저는 23에 구입했습니다..이어폰 설정에서 가장자리 탭하기 기능 있는데 이거 꼭 쓰세요. 볼륨조절 이어폰으로 가능해집니다. 관련 영상은 아마 블로그나 유튜브에 많을거예요. 이어폰 낀채 이어폰 끝이나 아니면 귓바퀴를 두번 톡톡해주면 볼륨 조절이 가능해지는겁니다. 맨 처음엔 꺼져있었던걸로 기억해요."
9,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",Batatester,5,소니 wf1000xm4 vs 갤럭시 버즈2 pro,"저는 지난 1년 간 소니 wf1000xm4를 아주 만족스럽게 사용해왔던 사람입니다.둘을 비교하며 리뷰해보겠습니다.일단 음질은 저는 솔직히 소니가 좀 더 낫다고 느꼈습니다.음의 밀도가 소니가 좀 더 꽉찬 느낌입니다.소니가 90/100 정도 버즈가 60/100 정도 수준 그래서 버즈2 프로가 좀 더 가벼운 소리가 나는데 이퀄라이저를 저음강조로 들으시면 그나마 커버가 됩니다.wf-1000xm4는 헤드폰에 도전하는 이어폰이기 때문에당연히 음장감도 넘사벽이었습니다.반면 보컬소리는 버즈2 프로가 더 나았습니다.가벼운 소리 때문인지 보컬이 좀 더 시원하게 들립니다.발라드나 아이돌음악 같이 보컬이 중요한 음악들은버즈2 프로가 나았구요.힙합이나 영화음악 같이 악기가 중요한 음악들은 소니 wf-1000xm4가 나았습니다.제가 고가의 이어폰을 1년 이상 쓰다보니 사실 음질보다 중요한게 착용감 아닌가 하는 생각이 많이 듭니다.소니의 치명적인 약점이 착용감인데 어느 순간부터 외출할 때 소니 wf-1000xm4에 손이 안 가게 되더라구요 이럴 바에는 착용감 좋은 이어폰으로 바꾸는게 낫겠다 싶어서 버즈2 프로를 구입하게 되었습니다.디자인도 한몫 했습니다. 색상도 깔끔하고 케이스 유닛 모두 무광처리되어 고급스럽습니다. 손에서 잘 미끄러지지도 않구요. 특히 화이트 색상은 에어팟을 연상시키는 디자인입니다.(요즘 삼성이 애플 많이 참고하는거 같습니다) 그래서 저는 현재까지 음질, 착용감, 디자인을 가장 균형있게 가져가고 있는건 버즈2 프로가 독보적이라고 생각이 됩니다."
